"","x"
"1",696
"2",715
"3",795
"4",759
"5",758
"6",825
"7",775
"8",836
"9",686
"10",846
"11",906
"12",813
"13",926
"14",787
"15",943
"16",921
"17",890
"18",872
"19",739
"20",972
"21",1006
"22",963
"23",981
"24",979
"25",1073
"26",807
"27",1025
"28",1046
"29",1011
"30",1021
"31",746
"32",831
"33",1049
"34",785
"35",1045
"36",1108
"37",888
"38",756
"39",1102
"40",992
"41",1021
"42",736
"43",1040
"44",1095
"45",1079
"46",1237
"47",1049
"48",1144
"49",1127
"50",1225
"51",1151
"52",1065
"53",880
"54",874
"55",940
"56",1193
"57",1215
"58",1195
"59",1108
"60",1007
"61",984
"62",1249
"63",1151
"64",1182
"65",1217
"66",1194
"67",1201
"68",954
"69",918
"70",900
"71",1224
"72",1198
"73",952
"74",1270
"75",1208
"76",981
"77",1213
"78",1048
"79",1309
"80",1241
"81",1012
"82",864
"83",1080
"84",1082
"85",876
"86",1284
"87",1213
"88",1224
"89",1257
"90",1019
"91",1229
"92",1238
"93",987
"94",1353
"95",1249
"96",1247
"97",1287
"98",1408
"99",1027
"100",1409
