"","x"
"1",8598
"2",8578
"3",8514
"4",8544
"5",8543
"6",8479
"7",8525
"8",8467
"9",8609
"10",8461
"11",8401
"12",8484
"13",8381
"14",8515
"15",8368
"16",8391
"17",8415
"18",8439
"19",8557
"20",8328
"21",8305
"22",8347
"23",8331
"24",8333
"25",8249
"26",8500
"27",8290
"28",8272
"29",8305
"30",8289
"31",8553
"32",8474
"33",8267
"34",8514
"35",8270
"36",8217
"37",8420
"38",8534
"39",8214
"40",8320
"41",8291
"42",8567
"43",8275
"44",8230
"45",8241
"46",8084
"47",8263
"48",8175
"49",8191
"50",8102
"51",8169
"52",8248
"53",8419
"54",8428
"55",8363
"56",8128
"57",8107
"58",8130
"59",8209
"60",8309
"61",8328
"62",8079
"63",8174
"64",8141
"65",8107
"66",8120
"67",8119
"68",8356
"69",8390
"70",8408
"71",8097
"72",8123
"73",8354
"74",8052
"75",8115
"76",8321
"77",8103
"78",8261
"79",8016
"80",8079
"81",8299
"82",8436
"83",8235
"84",8234
"85",8423
"86",8045
"87",8114
"88",8099
"89",8069
"90",8291
"91",8098
"92",8090
"93",8321
"94",7974
"95",8067
"96",8068
"97",8030
"98",7918
"99",8284
"100",7926
