"","x"
"1",2484
"2",3111
"3",1405
"4",1872
"5",2571
"6",3873
"7",4118
"8",3401
"9",3291
"10",1615
"11",3647
"12",3593
"13",2129
"14",3265
"15",2328
"16",3071
"17",2189
"18",1549
"19",1709
"20",2949
"21",2633
"22",2239
"23",4084
"24",2319
"25",3304
"26",1395
"27",3266
"28",2800
"29",3140
"30",1316
"31",3007
"32",1679
"33",3254
"34",3601
"35",3705
"36",3067
"37",2131
"38",2949
"39",2845
"40",2512
"41",2962
"42",3401
"43",2797
"44",3091
"45",2748
"46",2422
"47",3765
"48",2167
"49",3613
"50",4226
"51",3099
"52",2811
"53",4123
"54",2876
"55",3898
"56",3499
"57",3832
"58",1890
"59",3566
"60",2760
"61",3873
"62",1446
"63",1345
"64",3514
"65",3665
"66",3248
"67",3308
"68",3178
"69",2051
"70",3393
"71",2347
"72",3858
"73",3312
"74",3120
"75",4146
"76",3126
"77",1898
"78",3968
"79",3476
"80",2872
"81",4089
"82",3715
"83",1910
"84",3943
"85",1492
"86",1736
"87",3338
"88",2278
"89",3431
"90",3439
"91",2693
"92",1368
"93",2850
"94",2528
"95",3281
"96",2469
"97",2577
"98",1839
"99",1971
"100",2630
