"","x"
"1",7383
"2",6758
"3",8469
"4",7995
"5",7299
"6",6003
"7",5762
"8",6477
"9",6578
"10",8254
"11",6216
"12",6285
"13",7748
"14",6609
"15",7547
"16",6800
"17",7684
"18",8322
"19",8166
"20",6921
"21",7237
"22",7631
"23",5786
"24",7555
"25",6567
"26",8474
"27",6610
"28",7079
"29",6731
"30",8555
"31",6864
"32",8192
"33",6617
"34",6267
"35",6165
"36",6809
"37",7737
"38",6919
"39",7019
"40",7357
"41",6909
"42",6468
"43",7073
"44",6787
"45",7121
"46",7457
"47",6110
"48",7702
"49",6257
"50",5647
"51",6774
"52",7062
"53",5756
"54",6997
"55",5974
"56",6374
"57",6037
"58",7982
"59",6312
"60",7117
"61",6002
"62",8424
"63",8525
"64",6354
"65",6203
"66",6621
"67",6561
"68",6702
"69",7825
"70",6475
"71",7527
"72",6010
"73",6567
"74",6750
"75",5728
"76",6749
"77",7975
"78",5912
"79",6397
"80",7000
"81",5781
"82",6156
"83",7962
"84",5928
"85",8380
"86",8136
"87",6540
"88",7594
"89",6439
"90",6437
"91",7174
"92",8504
"93",7019
"94",7348
"95",6590
"96",7408
"97",7297
"98",8030
"99",7902
"100",7242
