"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,32,41,6,12,20,0,8,17,17,28,39,22,30,19,26,7,10,15,10,25,31,14,36,9,10,31,34,9,5,2,26,10,4,24,38,27,21,15,29,40,14,17,3,6,22,46,2,18,28,3,25,3,22,19,17,7,22,11,0,30,42,27,35,8,3,42,20,5,43,31,28,48,28,20,38,4,14,24,39,19,10,1,19,11,11,39,21,32,17,8,42,5,38,14,4,39,19,1,49,21
"2",NA,24,25,18,14,26,7,9,16,17,22,30,17,18,21,29,4,10,18,11,27,31,5,29,12,7,27,24,13,6,1,21,6,3,18,26,27,15,23,27,32,18,17,7,6,15,30,3,11,26,0,28,7,16,10,13,7,24,11,0,26,33,21,28,5,5,30,16,10,32,16,19,34,26,26,29,11,14,21,31,15,11,1,12,15,11,37,25,24,21,5,30,1,31,8,4,32,12,3,41,22
"3",NA,23,21,10,9,22,7,11,18,14,29,14,23,13,25,20,6,9,13,8,21,27,8,23,14,11,25,22,10,10,2,21,4,3,15,27,21,10,20,22,22,10,7,3,10,16,33,2,15,28,1,15,5,22,19,20,10,22,12,2,22,21,23,28,6,1,25,16,8,29,25,19,30,25,25,28,4,9,19,21,11,9,2,9,16,9,31,19,20,18,5,27,4,26,7,11,21,12,2,30,25
"4",NA,19,21,13,18,12,10,10,10,12,16,17,15,20,16,11,2,8,16,7,22,20,4,23,13,7,21,29,5,11,3,24,5,3,17,18,15,10,7,22,20,11,15,3,9,17,26,6,9,21,0,20,9,13,15,15,12,22,11,3,17,33,20,23,7,1,22,22,6,32,21,19,19,26,21,22,7,10,17,26,12,3,2,8,15,11,20,17,19,18,6,24,6,21,10,5,24,14,1,24,11
"5",NA,20,19,7,12,19,6,11,7,11,20,20,17,19,22,19,4,11,16,7,19,20,2,21,10,9,22,21,3,8,2,16,4,0,17,20,12,16,13,24,27,14,11,2,4,13,20,2,17,19,2,13,5,19,14,12,7,14,13,1,19,23,20,20,4,7,19,10,7,33,19,21,22,16,19,28,6,6,18,20,13,5,2,13,10,10,15,12,19,16,1,21,0,17,13,10,19,7,4,20,17
"6",NA,19,20,8,7,12,6,10,10,14,17,19,14,18,14,11,3,2,9,7,12,18,5,17,10,11,27,15,9,12,1,23,2,2,16,27,10,8,9,14,15,13,8,2,5,19,16,4,8,16,1,17,8,13,7,14,5,21,8,2,19,27,16,18,8,8,20,8,7,22,22,11,24,16,15,14,8,6,14,24,13,5,2,8,11,5,20,20,13,14,6,20,1,16,8,8,14,9,3,21,9
"7",NA,15,20,4,9,16,3,6,9,11,24,22,20,17,8,14,7,10,12,6,19,21,5,13,9,1,16,18,6,11,2,16,5,3,12,17,11,4,6,12,11,8,14,4,8,17,21,3,16,16,3,19,4,14,16,12,5,11,12,0,14,16,13,24,5,5,18,11,8,24,14,16,15,17,15,11,5,6,16,16,16,6,0,10,10,11,23,17,24,19,4,18,1,14,18,8,21,14,2,25,15
"8",NA,9,9,6,7,17,2,9,12,10,17,17,14,15,11,15,4,6,12,6,18,21,6,16,15,9,14,21,15,9,0,16,5,1,20,20,15,11,12,20,19,13,12,1,9,14,27,1,13,21,2,17,5,7,11,14,7,17,14,2,19,11,15,18,6,4,21,11,4,24,14,9,22,19,13,22,5,16,17,15,10,1,2,12,15,5,24,16,15,7,4,11,3,26,10,4,16,11,2,21,14
"9",NA,16,23,11,8,15,7,11,10,11,15,15,11,16,17,17,3,5,11,7,15,18,6,17,15,7,20,15,6,9,0,13,2,1,12,21,12,12,13,19,15,9,9,3,2,14,19,4,10,12,1,19,9,14,7,16,8,17,4,2,17,22,17,11,7,2,16,9,2,22,13,13,13,10,15,19,8,9,19,15,12,3,0,12,4,7,26,14,16,14,2,20,9,15,5,4,16,10,1,18,14
"10",NA,14,16,13,4,17,5,10,12,12,12,16,11,9,15,15,5,13,9,6,20,20,5,22,12,10,17,7,10,12,2,16,5,5,12,27,16,9,9,17,18,10,13,2,4,8,19,3,13,9,0,12,4,9,9,19,5,11,9,0,19,21,16,14,7,5,18,12,7,21,15,16,22,15,15,19,4,8,18,22,15,5,1,18,7,10,18,17,14,18,8,18,5,21,10,2,22,9,1,22,14
