"","x"
"1",5731
"2",5623
"3",5875
"4",5894
"5",5934
"6",6167
"7",6086
"8",5829
"9",5810
"10",5645
"11",5717
"12",5786
"13",5803
"14",5914
"15",5782
"16",6091
"17",5892
"18",5859
"19",6270
"20",5829
"21",5701
"22",5984
"23",5705
"24",6153
"25",6201
"26",5695
"27",5735
"28",6275
"29",6197
"30",6536
"31",5756
"32",6389
"33",6435
"34",5810
"35",5708
"36",5756
"37",5935
"38",6019
"39",5720
"40",5633
"41",5889
"42",5834
"43",6564
"44",6123
"45",5884
"46",5629
"47",6645
"48",5816
"49",5719
"50",6774
"51",5746
"52",6303
"53",5800
"54",5844
"55",6046
"56",6267
"57",5980
"58",5864
"59",6354
"60",5760
"61",5743
"62",5734
"63",5730
"64",5944
"65",6169
"66",5726
"67",5824
"68",5947
"69",5646
"70",5713
"71",5796
"72",5651
"73",5693
"74",5860
"75",5719
"76",6258
"77",6170
"78",5732
"79",5693
"80",5927
"81",5941
"82",6716
"83",5895
"84",5869
"85",5898
"86",5720
"87",5776
"88",5766
"89",6116
"90",6051
"91",5642
"92",6163
"93",5724
"94",5856
"95",5983
"96",5708
"97",5883
"98",6755
"99",5641
"100",5782
