"","x"
"1",1385
"2",3450
"3",3870
"4",4174
"5",2193
"6",4055
"7",3869
"8",3863
"9",3377
"10",4169
"11",4013
"12",3259
"13",3659
"14",3847
"15",1737
"16",3389
"17",2519
"18",3938
"19",3558
"20",3461
"21",4046
"22",4104
"23",3444
"24",3742
"25",3454
"26",3670
"27",2586
"28",1787
"29",3983
"30",3919
"31",4042
"32",4228
"33",2483
"34",2644
"35",3041
"36",4332
"37",2826
"38",4292
"39",3580
"40",1713
"41",4293
"42",3780
"43",3021
"44",4146
"45",4141
"46",1103
"47",3460
"48",1490
"49",1891
"50",3501
"51",3121
"52",2891
"53",3723
"54",4084
"55",3331
"56",3577
"57",3682
"58",4155
"59",3361
"60",3989
"61",3208
"62",2628
"63",2805
"64",4156
"65",3293
"66",4015
"67",3058
"68",4011
"69",2685
"70",4070
"71",3656
"72",3529
"73",1870
"74",4013
"75",3746
"76",3035
"77",3314
"78",4094
"79",4066
"80",2390
"81",3704
"82",3821
"83",3564
"84",3692
"85",3823
"86",4250
"87",3572
"88",2809
"89",2323
"90",2558
"91",4160
"92",3874
"93",2386
"94",4137
"95",3450
"96",2623
"97",2532
"98",3059
"99",3919
"100",2768
