"","x"
"1",8493
"2",6421
"3",6000
"4",5699
"5",7677
"6",5818
"7",6009
"8",6006
"9",6493
"10",5707
"11",5860
"12",6612
"13",6215
"14",6027
"15",8146
"16",6488
"17",7354
"18",5939
"19",6312
"20",6412
"21",5826
"22",5773
"23",6423
"24",6133
"25",6422
"26",6203
"27",7283
"28",8087
"29",5887
"30",5960
"31",5825
"32",5638
"33",7386
"34",7225
"35",6834
"36",5535
"37",7052
"38",5577
"39",6288
"40",8162
"41",5579
"42",6085
"43",6850
"44",5726
"45",5729
"46",8765
"47",6414
"48",8384
"49",7978
"50",6372
"51",6751
"52",6979
"53",6149
"54",5793
"55",6546
"56",6298
"57",6190
"58",5712
"59",6511
"60",5890
"61",6664
"62",7242
"63",7069
"64",5723
"65",6572
"66",5857
"67",6817
"68",5864
"69",7182
"70",5801
"71",6218
"72",6345
"73",8003
"74",5866
"75",6123
"76",6831
"77",6556
"78",5778
"79",5807
"80",7482
"81",6167
"82",6053
"83",6305
"84",6182
"85",6048
"86",5618
"87",6295
"88",7060
"89",7544
"90",7310
"91",5708
"92",5994
"93",7489
"94",5735
"95",6421
"96",7242
"97",7336
"98",6809
"99",5956
"100",7103
