"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,4,3,1,3,8,1,7,3,3,7,5,2,3,5,3,2,8,2,2,1,2,3,4,3,3,5,5,4,3,3,1,2,3,5,3,1,3,3,3,2,0,2,3,2,5,2,5,5,2,1,2,5,9,1,3,3,4,2,4,1,3,8,4,6,4,1,2,2,0,3,4,1,3,6,5,4,9,3,5,5,4,2,4,2,3,4,10,6,6,4,3,2,2,3,5,6,3,8,7,5
"2",NA,2,2,2,5,2,4,4,6,0,4,6,4,3,7,5,1,5,3,3,2,6,4,4,5,5,3,2,3,3,4,3,7,3,4,3,3,5,1,2,3,1,1,2,3,9,7,3,6,0,1,3,5,6,4,6,2,5,6,1,6,3,4,2,1,4,4,4,2,4,4,1,10,7,8,1,2,2,2,1,6,3,5,2,4,3,7,5,2,6,4,4,3,6,6,2,4,5,3,2,4
"3",NA,4,5,1,4,3,3,3,1,7,4,3,9,3,0,6,8,5,3,3,3,8,2,5,2,1,2,6,2,1,5,2,3,5,7,8,4,5,1,3,5,1,1,7,4,5,5,8,3,6,0,6,4,4,2,3,6,1,6,3,1,5,4,6,3,6,1,2,2,3,2,2,3,4,1,6,8,5,4,4,3,10,4,6,4,5,3,2,3,6,5,3,6,8,2,5,5,2,2,5,4
"4",NA,4,6,5,4,4,3,4,2,2,3,7,4,3,4,3,3,3,4,2,5,5,3,4,4,3,1,10,1,5,7,3,3,1,5,5,5,6,3,1,2,6,7,3,3,4,4,6,2,3,3,7,4,1,3,2,6,4,4,7,5,3,5,3,4,5,8,6,5,3,3,3,3,6,1,4,7,6,2,3,8,3,4,8,2,2,5,1,5,1,4,4,4,7,4,7,9,0,3,4,6
"5",NA,2,4,6,3,3,1,7,4,2,3,3,3,7,2,4,3,7,6,3,2,1,5,3,3,5,2,6,4,3,1,6,8,5,5,0,3,1,2,3,0,1,3,4,3,4,3,5,4,7,1,3,2,9,1,1,6,3,7,8,3,4,2,3,3,4,2,5,4,1,3,1,7,2,4,2,5,5,3,3,6,2,5,3,4,4,5,1,7,2,3,5,3,2,6,3,3,6,4,4,6
"6",NA,2,6,2,3,7,3,0,7,4,7,3,3,3,0,3,7,6,4,4,1,5,6,3,3,4,2,3,5,0,1,1,0,2,5,3,4,1,3,0,6,1,2,6,5,6,2,2,3,5,1,6,3,2,3,8,3,4,4,3,2,4,6,3,6,4,2,7,4,4,2,4,3,3,6,6,2,5,2,5,4,2,5,4,4,5,1,6,4,5,3,4,0,3,5,4,4,1,6,8,3
"7",NA,3,3,3,4,4,2,5,4,2,6,2,4,3,3,5,6,5,5,0,2,5,4,5,7,5,5,4,3,3,3,3,5,5,0,4,2,3,2,1,4,2,3,4,6,3,1,2,3,3,2,6,3,4,7,4,3,3,3,4,4,4,10,3,1,0,7,5,1,1,1,0,2,5,5,1,7,3,6,5,3,4,4,4,1,3,6,4,2,5,3,3,4,5,5,6,4,1,3,2,3
"8",NA,3,1,7,2,9,2,2,2,5,6,5,3,2,5,3,5,6,2,2,7,4,3,4,3,4,2,6,3,2,6,3,2,2,6,4,1,6,5,2,5,2,2,3,3,4,0,6,5,4,4,2,3,1,3,3,4,1,1,4,3,6,2,2,5,3,3,6,2,3,1,4,4,3,5,3,4,2,2,4,4,2,3,2,5,4,6,4,1,4,3,3,2,2,3,6,4,3,6,2,5
"9",NA,6,5,2,3,4,1,3,2,2,1,5,3,4,4,1,6,2,3,1,4,7,3,4,6,3,5,3,4,5,8,4,10,6,2,2,8,5,2,4,2,4,1,3,2,5,5,1,4,2,2,2,5,6,8,7,3,2,2,4,3,1,5,6,2,2,7,5,2,1,0,2,4,3,1,5,0,8,5,6,3,2,4,4,0,2,3,5,1,2,1,2,2,4,2,4,3,2,4,3,3
"10",NA,3,6,1,5,4,0,1,5,5,1,1,4,4,3,2,1,3,3,2,2,3,5,2,6,3,1,2,5,4,5,4,2,5,6,4,5,5,2,2,4,1,1,6,4,8,2,5,1,2,4,3,2,5,4,2,5,2,1,2,1,5,1,0,2,4,4,0,1,3,2,5,3,4,2,7,2,3,3,2,3,3,5,6,0,3,7,4,5,5,6,2,3,2,5,4,4,4,5,5,2
