"","x"
"1",3112
"2",3592
"3",3199
"4",3555
"5",3133
"6",2959
"7",3413
"8",3451
"9",2453
"10",3121
"11",3635
"12",3102
"13",3875
"14",3205
"15",3430
"16",3349
"17",3264
"18",3109
"19",3433
"20",2842
"21",3484
"22",3866
"23",3433
"24",3125
"25",2945
"26",2414
"27",3344
"28",2885
"29",3166
"30",3145
"31",3022
"32",3976
"33",3296
"34",3017
"35",3358
"36",3492
"37",3251
"38",3335
"39",2572
"40",3933
"41",2778
"42",3600
"43",3802
"44",3985
"45",3125
"46",3464
"47",2962
"48",3886
"49",3131
"50",3233
"51",3373
"52",3371
"53",3413
"54",3877
"55",3013
"56",3243
"57",3393
"58",3355
"59",3872
"60",3358
"61",3751
"62",3731
"63",3437
"64",3662
"65",2878
"66",3642
"67",3743
"68",3456
"69",2838
"70",3323
"71",3232
"72",3568
"73",3583
"74",3707
"75",3206
"76",3853
"77",3295
"78",3641
"79",3100
"80",3652
"81",3008
"82",3424
"83",3524
"84",3283
"85",3227
"86",3102
"87",3769
"88",3401
"89",3047
"90",3731
"91",3644
"92",2917
"93",3073
"94",3268
"95",3708
"96",3332
"97",3390
"98",3349
"99",3615
"100",3378
