"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,0,6,5,10,16,18,25,26,37,39
"2",NA,0,2,9,11,14,14,23,32,24,33
"3",NA,0,6,3,13,14,16,27,19,24,27
"4",NA,0,3,7,10,14,21,21,20,21,28
"5",NA,0,8,3,14,11,22,14,22,23,26
"6",NA,0,2,6,6,15,22,17,22,18,23
"7",NA,0,3,5,13,14,9,18,18,21,16
"8",NA,0,3,8,14,16,13,19,23,20,23
"9",NA,0,2,9,16,14,13,21,22,17,28
"10",NA,0,2,9,8,11,8,15,17,19,22
"11",NA,0,3,7,4,13,15,12,16,18,14
"12",NA,0,3,8,12,15,19,17,21,16,19
"13",NA,0,2,5,5,13,19,17,14,19,18
"14",NA,0,2,5,11,9,20,21,16,23,23
"15",NA,0,4,6,7,8,10,15,20,15,23
"16",NA,0,7,9,16,8,15,8,18,18,24
"17",NA,0,3,7,6,16,16,13,20,22,21
"18",NA,0,2,8,10,10,13,17,19,21,15
"19",NA,0,2,8,11,13,12,15,17,20,18
"20",NA,0,4,10,9,7,10,24,26,19,28
"21",NA,0,3,9,12,12,24,22,29,24,24
"22",NA,0,9,15,21,24,19,24,31,38,30
"23",NA,0,5,9,19,23,24,34,32,35,38
"24",NA,0,7,15,23,24,28,37,39,44,39
"25",NA,0,8,19,32,29,34,33,45,48,43
"26",NA,0,11,23,33,30,37,46,50,45,58
"27",NA,0,13,24,35,40,38,50,58,60,61
"28",NA,0,19,23,36,41,37,51,62,56,64
"29",NA,1,20,28,43,42,42,45,63,59,65
"30",NA,0,20,36,47,35,42,55,59,74,70
"31",NA,0,26,39,53,46,59,59,67,72,68
"32",NA,0,19,42,50,50,55,61,56,68,60
"33",NA,0,30,35,50,50,56,58,67,77,65
"34",NA,1,27,40,54,49,60,61,75,77,69
"35",NA,1,28,39,44,59,62,62,69,68,73
"36",NA,2,28,50,66,62,56,60,68,73,68
"37",NA,2,45,53,57,50,61,67,75,78,82
"38",NA,2,44,56,64,64,65,66,70,80,85
"39",NA,1,35,47,59,59,69,66,77,74,75
"40",NA,1,45,53,67,64,67,70,84,79,78
"41",NA,0,46,58,67,65,73,71,77,81,86
"42",NA,2,52,54,67,67,69,78,80,81,84
"43",NA,2,48,60,72,63,72,71,84,82,86
"44",NA,1,47,56,67,64,73,76,84,80,87
"45",NA,1,54,57,67,62,78,79,85,81,86
"46",NA,3,51,60,66,70,77,86,84,88,83
"47",NA,2,51,64,65,73,75,79,86,90,87
"48",NA,5,52,63,72,71,74,82,79,86,85
"49",NA,4,53,70,66,71,77,88,90,86,96
"50",NA,4,59,73,80,75,80,82,92,90,92
"51",NA,3,52,63,80,73,74,83,89,88,90
"52",NA,3,61,72,78,75,89,78,91,85,94
"53",NA,5,61,62,78,82,88,82,91,93,88
"54",NA,4,65,73,82,78,79,86,89,95,91
"55",NA,6,62,75,80,80,84,89,93,94,91
"56",NA,6,66,74,80,80,88,79,91,95,95
"57",NA,6,68,80,82,88,88,86,94,94,97
"58",NA,4,70,76,83,81,81,86,94,94,95
"59",NA,4,59,79,88,83,89,88,91,92,97
"60",NA,8,62,73,83,79,88,91,94,97,95
"61",NA,10,69,79,85,85,90,88,96,92,93
"62",NA,8,77,81,84,85,84,91,96,93,97
"63",NA,8,76,81,88,89,90,92,97,97,96
"64",NA,8,69,86,84,88,90,87,97,94,95
"65",NA,7,70,85,89,85,95,92,96,91,96
"66",NA,10,72,90,89,89,94,94,96,92,94
"67",NA,6,58,73,70,67,76,79,71,75,79
"68",NA,3,48,54,61,64,64,54,74,63,73
"69",NA,5,42,41,53,51,51,57,51,56,52
"70",NA,6,42,40,40,47,52,42,48,52,53
"71",NA,4,36,33,41,41,47,35,43,50,40
"72",NA,3,29,38,35,39,48,42,36,40,42
"73",NA,2,23,23,32,38,35,36,40,31,41
"74",NA,2,28,22,35,15,25,31,32,37,38
"75",NA,2,26,23,27,16,32,32,40,26,31
"76",NA,0,19,16,29,26,18,29,27,29,27
"77",NA,1,13,20,20,22,26,26,20,36,27
"78",NA,1,12,18,20,24,24,23,23,25,31
"79",NA,0,8,16,18,18,16,23,29,19,36
"80",NA,0,16,8,17,24,18,25,22,19,23
"81",NA,2,13,18,19,14,21,22,23,24,31
"82",NA,2,9,10,15,13,18,19,23,24,21
"83",NA,1,7,13,14,10,13,16,15,27,20
"84",NA,1,9,9,16,14,20,21,21,29,23
"85",NA,1,10,10,13,18,15,13,17,21,28
"86",NA,0,10,6,13,18,20,19,18,18,17
"87",NA,0,12,11,11,14,16,24,17,26,27
"88",NA,0,5,12,14,16,14,9,23,22,20
"89",NA,0,6,9,9,18,14,14,14,17,24
"90",NA,0,5,7,9,15,23,23,14,21,21
"91",NA,0,2,12,12,14,14,23,16,24,18
"92",NA,1,3,9,10,8,16,15,14,13,21
"93",NA,0,3,4,11,8,16,11,15,22,21
"94",NA,0,4,10,15,14,19,19,19,17,20
"95",NA,0,4,5,14,16,9,13,16,18,15
"96",NA,1,2,3,5,10,13,16,21,20,23
"97",NA,0,6,5,6,11,10,18,17,15,17
"98",NA,1,5,14,9,7,13,18,19,17,19
"99",NA,0,4,5,13,9,14,17,18,13,27
"100",NA,0,2,10,10,15,10,13,23,14,17
"101",NA,1,4,6,4,9,19,14,19,29,19
"102",NA,1,6,6,6,18,13,12,18,23,25
"103",NA,0,2,4,8,12,16,12,14,27,18
"104",NA,0,6,9,16,15,16,16,14,24,20
"105",NA,0,0,0,0,0,0,0,0,0,0
