"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,2,8,2,3,1,7,3,4,7,3,5,4,13,8,2,9,3,2,9,3,3,2,2,4,5,3,4,6,3,3,9,2,4,5,1,5,5,2,6,1,1,3,2,2,3,7,4,7,4,3,1,5,4,12,3,10,0,10,2,5,3,3,2,10,4,5,7,6,6,9,3,10,3,8,13,1,4,7,3,3,7,4,6,2,1,2,4,5,6,6,4,9,7,1,5,5,6,3,6,11
"2",NA,1,4,2,2,1,4,3,1,8,2,6,8,9,7,2,7,4,0,6,1,4,2,5,8,10,2,1,3,5,8,4,8,5,8,4,8,6,4,10,4,0,4,7,3,5,5,2,11,1,4,0,4,6,10,3,6,3,6,4,8,6,5,2,4,2,7,2,6,11,7,3,6,0,3,7,2,4,7,3,2,6,3,10,2,1,2,1,5,4,0,4,6,6,3,2,2,4,5,3,6
"3",NA,3,3,3,3,0,5,1,7,7,10,7,6,9,11,2,2,2,6,5,3,2,2,3,5,11,4,3,3,2,7,6,5,5,5,2,6,10,4,6,5,0,2,4,0,3,7,3,9,4,1,1,8,8,7,3,2,2,6,2,12,4,3,3,3,0,7,0,4,3,11,2,6,1,6,9,2,4,9,3,7,5,6,8,3,4,1,5,9,6,10,3,3,5,3,3,7,1,3,4,9
"4",NA,1,5,10,3,0,2,1,8,7,5,5,4,6,7,1,5,1,2,3,3,6,3,5,3,7,3,5,6,1,5,9,8,3,7,5,11,11,2,2,1,0,0,8,0,9,6,4,3,2,1,2,4,4,8,3,11,2,5,2,6,4,2,3,8,9,6,5,10,6,10,8,6,4,5,9,3,2,3,3,7,11,5,6,3,1,3,4,7,4,10,2,6,8,3,7,6,2,2,5,6
"5",NA,2,5,6,1,1,5,1,5,5,3,5,7,6,5,1,5,1,4,10,1,2,3,4,5,10,4,1,4,2,9,11,5,6,11,3,11,5,8,3,5,1,1,4,2,7,9,6,3,4,1,1,8,5,7,2,5,2,9,2,7,6,2,3,6,2,6,8,8,4,8,3,4,0,3,6,2,2,2,5,6,7,5,9,1,3,2,5,8,2,2,2,6,7,3,8,9,5,3,5,14
"6",NA,4,2,6,2,1,2,2,5,2,4,5,11,7,2,0,6,4,2,3,3,4,1,4,8,6,4,1,4,4,2,6,7,6,9,4,6,6,2,5,1,1,2,3,1,2,5,3,10,3,1,0,5,4,11,2,4,6,16,1,11,5,5,2,9,5,11,3,6,9,2,6,4,6,8,7,2,10,6,4,4,8,4,5,2,5,2,6,9,5,9,3,9,9,4,4,1,1,3,3,8
"7",NA,2,3,4,1,2,3,1,8,5,8,6,2,5,7,1,5,6,6,3,4,3,1,6,8,7,4,3,6,2,9,6,6,1,8,2,9,9,2,7,2,1,1,2,4,10,4,3,7,6,2,0,8,2,6,1,6,1,7,1,7,3,2,2,4,4,12,7,6,6,13,4,6,3,9,7,4,7,11,4,0,8,4,8,4,3,1,6,8,2,7,2,7,9,4,11,6,4,3,2,5
"8",NA,3,2,3,1,1,3,2,3,6,6,4,4,5,8,2,3,1,2,3,7,2,2,2,6,3,3,3,5,5,4,10,4,1,5,0,5,6,4,7,3,1,4,8,0,5,7,4,9,5,2,0,7,4,16,4,3,4,8,0,8,5,1,2,3,1,5,5,6,6,6,2,8,2,2,3,0,7,2,1,1,9,3,4,3,0,1,5,5,3,2,5,4,10,3,6,5,2,2,6,7
"9",NA,2,1,3,0,2,4,3,1,8,7,5,4,5,3,0,6,4,4,4,2,4,2,4,7,6,5,2,5,2,11,7,11,2,6,2,6,7,1,3,5,2,3,6,2,7,7,6,3,3,2,1,7,7,10,1,4,4,7,1,10,3,1,6,2,4,5,3,3,4,4,3,5,0,4,10,2,4,4,5,4,7,11,15,1,2,3,4,8,2,4,3,8,8,2,5,5,3,5,3,11
"10",NA,2,4,2,1,0,3,2,3,5,4,5,6,7,11,1,5,2,0,6,5,2,4,3,10,10,3,2,7,2,10,9,4,4,7,2,6,9,3,4,7,0,3,4,3,3,4,4,8,2,0,1,11,5,9,2,1,3,8,3,6,5,3,1,2,2,2,5,4,9,9,7,12,2,5,10,1,5,8,6,4,3,5,5,4,1,1,2,7,2,2,4,3,7,3,7,2,4,3,2,10
