"","x"
"1",2790
"2",3670
"3",3833
"4",2819
"5",2336
"6",3329
"7",2669
"8",3852
"9",4270
"10",3865
"11",3843
"12",4015
"13",4164
"14",4118
"15",2166
"16",4179
"17",3447
"18",3130
"19",3819
"20",3569
"21",3444
"22",2777
"23",3629
"24",4302
"25",4125
"26",3680
"27",3153
"28",3938
"29",3184
"30",4340
"31",4378
"32",3996
"33",3836
"34",4309
"35",2990
"36",4205
"37",4340
"38",3605
"39",3624
"40",3463
"41",1605
"42",3325
"43",3919
"44",3073
"45",4183
"46",4249
"47",3711
"48",4424
"49",3546
"50",2976
"51",2675
"52",4226
"53",3587
"54",4347
"55",3345
"56",3773
"57",2878
"58",4326
"59",2536
"60",4427
"61",3638
"62",3101
"63",3534
"64",3863
"65",4078
"66",4126
"67",4037
"68",4132
"69",4275
"70",4458
"71",3411
"72",4262
"73",3269
"74",3810
"75",4394
"76",3457
"77",4043
"78",4155
"79",3795
"80",3601
"81",4236
"82",3998
"83",4337
"84",3327
"85",3488
"86",2904
"87",3726
"88",4299
"89",3818
"90",4322
"91",3244
"92",4131
"93",4133
"94",3419
"95",4179
"96",3773
"97",3537
"98",3397
"99",3816
"100",4346
