"","x"
"1",7079
"2",6206
"3",6040
"4",7046
"5",7541
"6",6547
"7",7202
"8",6018
"9",5603
"10",6007
"11",6022
"12",5860
"13",5705
"14",5760
"15",7708
"16",5693
"17",6430
"18",6741
"19",6052
"20",6300
"21",6429
"22",7093
"23",6242
"24",5567
"25",5742
"26",6191
"27",6724
"28",5927
"29",6685
"30",5531
"31",5495
"32",5874
"33",6028
"34",5563
"35",6876
"36",5673
"37",5530
"38",6260
"39",6246
"40",6406
"41",8267
"42",6543
"43",5953
"44",6793
"45",5687
"46",5619
"47",6158
"48",5447
"49",6323
"50",6899
"51",7200
"52",5646
"53",6287
"54",5522
"55",6530
"56",6101
"57",6991
"58",5547
"59",7339
"60",5448
"61",6235
"62",6770
"63",6334
"64",6008
"65",5796
"66",5754
"67",5838
"68",5743
"69",5601
"70",5416
"71",6463
"72",5613
"73",6598
"74",6065
"75",5477
"76",6409
"77",5829
"78",5714
"79",6073
"80",6265
"81",5642
"82",5874
"83",5530
"84",6546
"85",6383
"86",6965
"87",6144
"88",5571
"89",6051
"90",5550
"91",6633
"92",5742
"93",5738
"94",6455
"95",5694
"96",6104
"97",6336
"98",6474
"99",6057
"100",5528
