"","x"
"1",3640
"2",3436
"3",3763
"4",3611
"5",3754
"6",3833
"7",3224
"8",3559
"9",3772
"10",3764
"11",3805
"12",3609
"13",3189
"14",3812
"15",3827
"16",3560
"17",3536
"18",3659
"19",3618
"20",3642
"21",3604
"22",3564
"23",3233
"24",3871
"25",3773
"26",3274
"27",2960
"28",3451
"29",3471
"30",3688
"31",3684
"32",3601
"33",3660
"34",3417
"35",3530
"36",3412
"37",3490
"38",3724
"39",3915
"40",3654
"41",3692
"42",3784
"43",3587
"44",3591
"45",3745
"46",3152
"47",3509
"48",3680
"49",3903
"50",3307
"51",3180
"52",3565
"53",3151
"54",3704
"55",3671
"56",3045
"57",3741
"58",3128
"59",3742
"60",3682
"61",3587
"62",3754
"63",3550
"64",3678
"65",3684
"66",3877
"67",3917
"68",3566
"69",3136
"70",3714
"71",3748
"72",3753
"73",3716
"74",3247
"75",3422
"76",3592
"77",3744
"78",3019
"79",3217
"80",3488
"81",3590
"82",3707
"83",3556
"84",3788
"85",3189
"86",3650
"87",3640
"88",3891
"89",3185
"90",3688
"91",3756
"92",3318
"93",3554
"94",3632
"95",3572
"96",3765
"97",3735
"98",3270
"99",3897
"100",3753
