"","x"
"1",6229
"2",6433
"3",6105
"4",6263
"5",6120
"6",6037
"7",6647
"8",6315
"9",6099
"10",6114
"11",6065
"12",6260
"13",6674
"14",6060
"15",6046
"16",6317
"17",6338
"18",6213
"19",6257
"20",6231
"21",6269
"22",6303
"23",6635
"24",6004
"25",6098
"26",6593
"27",6909
"28",6420
"29",6400
"30",6184
"31",6188
"32",6261
"33",6204
"34",6454
"35",6343
"36",6459
"37",6381
"38",6151
"39",5954
"40",6222
"41",6185
"42",6082
"43",6282
"44",6280
"45",6123
"46",6721
"47",6363
"48",6190
"49",5965
"50",6562
"51",6693
"52",6302
"53",6722
"54",6162
"55",6195
"56",6832
"57",6130
"58",6748
"59",6132
"60",6187
"61",6283
"62",6127
"63",6318
"64",6198
"65",6191
"66",5989
"67",5956
"68",6302
"69",6735
"70",6156
"71",6124
"72",6121
"73",6154
"74",6617
"75",6446
"76",6282
"77",6133
"78",6848
"79",6654
"80",6378
"81",6283
"82",6175
"83",6320
"84",6082
"85",6685
"86",6223
"87",6232
"88",5984
"89",6692
"90",6185
"91",6120
"92",6557
"93",6314
"94",6235
"95",6298
"96",6107
"97",6133
"98",6604
"99",5976
"100",6119
