"","x"
"1",3822
"2",3613
"3",3508
"4",2141
"5",3731
"6",2298
"7",2282
"8",1139
"9",3494
"10",3522
"11",3828
"12",3853
"13",2523
"14",3881
"15",3326
"16",3594
"17",3404
"18",3374
"19",3227
"20",1235
"21",3544
"22",3528
"23",2060
"24",2360
"25",3716
"26",3480
"27",2219
"28",3639
"29",3920
"30",1652
"31",3779
"32",3588
"33",3055
"34",3620
"35",3568
"36",3615
"37",2871
"38",3447
"39",3654
"40",2419
"41",3542
"42",3587
"43",3367
"44",1216
"45",2744
"46",2975
"47",2210
"48",3688
"49",1353
"50",3621
"51",2160
"52",3727
"53",3145
"54",3295
"55",3387
"56",2706
"57",2201
"58",2131
"59",2311
"60",3845
"61",3319
"62",3504
"63",3648
"64",3767
"65",3251
"66",2016
"67",3391
"68",3411
"69",3600
"70",3569
"71",3527
"72",3181
"73",639
"74",3045
"75",3377
"76",3987
"77",3642
"78",3619
"79",3705
"80",3226
"81",3443
"82",2888
"83",3578
"84",3579
"85",3201
"86",1992
"87",3915
"88",3587
"89",3297
"90",3367
"91",3426
"92",3417
"93",3834
"94",2779
"95",3443
"96",3603
"97",3448
"98",1110
"99",3608
"100",3430
