"","x"
"1",6048
"2",6261
"3",6363
"4",7733
"5",6141
"6",7572
"7",7591
"8",8729
"9",6372
"10",6343
"11",6046
"12",6022
"13",7358
"14",5995
"15",6545
"16",6272
"17",6469
"18",6497
"19",6650
"20",8635
"21",6329
"22",6340
"23",7807
"24",7510
"25",6155
"26",6393
"27",7652
"28",6231
"29",5953
"30",8217
"31",6104
"32",6282
"33",6820
"34",6250
"35",6304
"36",6253
"37",7000
"38",6425
"39",6216
"40",7453
"41",6332
"42",6289
"43",6505
"44",8653
"45",7124
"46",6895
"47",7659
"48",6183
"49",8521
"50",6252
"51",7713
"52",6147
"53",6724
"54",6579
"55",6485
"56",7162
"57",7673
"58",7735
"59",7559
"60",6033
"61",6556
"62",6370
"63",6224
"64",6105
"65",6620
"66",7855
"67",6474
"68",6462
"69",6269
"70",6307
"71",6347
"72",6688
"73",9231
"74",6824
"75",6496
"76",5884
"77",6232
"78",6254
"79",6164
"80",6650
"81",6422
"82",6984
"83",6297
"84",6293
"85",6670
"86",7878
"87",5955
"88",6283
"89",6578
"90",6503
"91",6447
"92",6449
"93",6040
"94",7094
"95",6427
"96",6271
"97",6424
"98",8766
"99",6261
"100",6444
