"","x"
"1",3333
"2",3370
"3",3693
"4",3009
"5",3315
"6",3693
"7",3221
"8",3801
"9",3827
"10",3765
"11",3687
"12",3483
"13",3276
"14",3672
"15",3783
"16",3714
"17",3570
"18",3364
"19",3547
"20",3798
"21",3586
"22",3915
"23",3777
"24",3291
"25",3166
"26",3739
"27",3565
"28",3219
"29",3644
"30",3749
"31",3778
"32",3420
"33",3688
"34",3444
"35",3646
"36",3323
"37",3637
"38",3297
"39",3731
"40",3783
"41",3091
"42",3829
"43",3681
"44",3696
"45",3671
"46",3649
"47",3677
"48",3583
"49",3768
"50",3512
"51",3757
"52",3574
"53",3727
"54",3767
"55",3579
"56",3536
"57",3542
"58",3187
"59",3309
"60",3836
"61",3660
"62",3630
"63",3653
"64",3434
"65",3214
"66",3675
"67",3668
"68",3562
"69",3653
"70",3425
"71",3596
"72",3415
"73",3651
"74",3626
"75",3621
"76",3094
"77",3680
"78",3640
"79",3651
"80",3225
"81",3789
"82",3287
"83",3757
"84",3790
"85",3744
"86",3236
"87",3734
"88",3192
"89",3722
"90",3654
"91",3721
"92",3217
"93",3452
"94",3679
"95",3677
"96",3517
"97",3287
"98",3645
"99",3383
"100",3415
