"","x"
"1",6538
"2",6502
"3",6178
"4",6860
"5",6552
"6",6173
"7",6649
"8",6076
"9",6046
"10",6110
"11",6180
"12",6385
"13",6593
"14",6201
"15",6086
"16",6158
"17",6300
"18",6511
"19",6322
"20",6075
"21",6281
"22",5956
"23",6090
"24",6579
"25",6701
"26",6136
"27",6307
"28",6651
"29",6228
"30",6129
"31",6097
"32",6452
"33",6182
"34",6432
"35",6227
"36",6554
"37",6236
"38",6579
"39",6148
"40",6082
"41",6777
"42",6041
"43",6194
"44",6176
"45",6198
"46",6220
"47",6192
"48",6285
"49",6100
"50",6362
"51",6106
"52",6296
"53",6143
"54",6103
"55",6294
"56",6331
"57",6326
"58",6679
"59",6564
"60",6039
"61",6214
"62",6246
"63",6212
"64",6438
"65",6654
"66",6200
"67",6200
"68",6304
"69",6217
"70",6447
"71",6275
"72",6461
"73",6216
"74",6249
"75",6255
"76",6775
"77",6192
"78",6229
"79",6219
"80",6644
"81",6088
"82",6589
"83",6108
"84",6083
"85",6128
"86",6638
"87",6139
"88",6678
"89",6150
"90",6219
"91",6148
"92",6651
"93",6419
"94",6191
"95",6193
"96",6352
"97",6580
"98",6223
"99",6486
"100",6458
