"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,1,4,5,2,2,5,5,4,4,5,3,2,5,3,7,5,8,4,3,0,6,3,5,6,6,3,2,4,4,3,8,5,7,2,3,5,3,6,7,8,2,4,5,1,7,7,4,4,6,9,4,3,4,6,3,2,4,2,7,4,5,7,3,8,5,5,5,7,6,3,3,1,1,7,6,4,5,1,1,5,3,7,3,7,2,4,5,6,5,5,3,3,6,3,5,4,7,2,2,4
"2",NA,4,2,6,2,6,4,6,4,5,3,4,2,4,6,4,2,4,1,6,4,2,3,2,5,4,1,3,5,2,2,5,6,3,3,5,7,1,3,6,6,2,2,7,1,3,4,5,3,0,1,5,4,2,5,3,5,3,8,5,6,2,1,4,2,7,6,2,1,4,6,6,2,2,12,4,4,3,2,3,5,1,2,4,3,2,1,4,1,7,5,5,2,5,7,1,7,3,9,3,5
"3",NA,1,5,5,5,7,6,6,3,6,7,2,0,7,3,4,7,1,2,5,3,8,3,5,3,3,3,3,4,4,2,3,2,4,5,7,7,3,5,2,5,2,4,5,1,5,6,5,3,6,10,2,3,3,2,3,4,5,4,4,3,4,6,4,4,6,0,4,4,4,2,2,2,4,3,5,2,3,3,4,1,4,5,2,6,4,7,6,8,5,2,6,2,9,2,3,7,1,5,4,2
"4",NA,4,4,3,6,6,2,7,3,3,5,3,3,6,4,7,3,2,4,2,2,2,4,7,4,6,1,1,5,1,3,5,0,8,1,2,4,6,4,8,3,4,4,4,1,2,3,3,5,2,2,8,6,2,3,2,3,4,1,2,7,2,2,1,2,3,3,1,2,4,2,5,1,5,8,0,6,4,2,3,2,5,10,5,4,4,2,4,3,5,5,2,6,4,3,6,4,4,4,4,3
"5",NA,3,3,7,4,5,2,4,1,4,3,1,3,2,2,3,5,3,2,3,3,1,5,5,6,5,2,2,6,2,4,5,5,5,2,6,2,5,1,4,3,2,4,0,2,3,2,5,3,5,4,6,7,1,3,4,2,3,7,4,3,2,1,5,2,4,6,3,7,4,7,3,4,2,1,8,5,4,2,2,3,1,3,4,1,3,5,5,2,5,3,3,4,8,5,3,3,3,6,3,5
"6",NA,1,3,3,3,4,1,6,6,1,4,3,1,4,2,4,1,4,2,6,0,1,6,1,2,5,2,6,3,2,4,2,8,7,0,9,3,6,2,3,2,3,4,7,3,2,5,4,3,3,5,3,1,1,6,5,3,2,4,2,3,3,4,1,3,2,6,3,6,3,0,3,4,2,3,2,6,3,4,6,4,3,2,3,4,1,2,1,4,4,5,4,6,2,2,2,5,6,5,3,1
"7",NA,2,2,8,2,4,3,2,2,2,7,7,4,3,2,6,2,4,3,2,4,7,1,8,5,4,4,1,1,3,3,4,3,0,4,3,2,3,3,4,2,2,1,3,0,2,4,1,4,4,0,6,2,1,5,2,4,4,10,4,7,6,5,2,4,4,4,2,4,4,4,9,4,2,1,4,4,6,3,2,5,2,3,8,3,3,2,2,1,9,3,8,2,1,1,6,4,2,2,2,1
"8",NA,2,4,4,1,6,1,4,2,3,6,3,4,0,3,3,3,1,5,3,4,2,5,5,6,3,3,1,3,5,1,7,4,2,6,5,4,2,4,3,3,5,1,5,0,6,3,4,4,1,4,3,2,6,7,0,4,5,1,3,5,2,1,3,5,6,4,4,3,3,5,4,2,2,5,4,3,7,5,2,7,3,5,1,1,3,3,4,6,4,4,7,6,3,8,8,4,2,9,3,3
"9",NA,4,3,2,0,2,2,5,3,5,1,2,0,7,2,3,2,1,2,3,3,3,4,2,2,3,2,2,4,2,3,2,2,2,5,4,3,3,1,6,6,2,1,2,2,5,3,3,6,4,3,6,7,1,3,4,2,4,6,4,3,2,3,0,3,2,2,3,4,4,3,6,1,4,2,9,4,4,1,4,6,4,4,1,6,2,3,4,6,3,5,3,6,4,3,4,3,3,9,9,2
"10",NA,5,4,4,2,5,2,4,2,6,3,2,2,6,6,3,2,0,3,3,2,4,1,4,4,6,2,2,0,1,5,4,1,5,0,4,2,4,4,1,5,6,0,3,2,3,2,6,3,3,3,1,3,1,1,5,6,2,7,4,5,4,2,4,4,4,4,2,7,3,2,4,2,4,9,3,1,4,6,3,2,0,5,4,5,3,3,2,4,0,5,3,3,4,3,2,3,4,1,4,3
"11",NA,2,5,6,0,3,1,7,5,5,4,3,3,5,4,2,6,3,4,1,5,6,2,3,5,5,2,0,4,3,4,4,8,3,1,2,1,3,4,3,2,1,3,3,1,4,5,5,2,5,5,1,3,4,3,4,2,1,1,2,6,1,3,4,2,3,4,4,4,2,6,7,2,2,3,1,2,1,2,2,2,3,5,1,1,4,5,1,6,0,4,3,4,3,0,3,1,2,2,1,3
"12",NA,5,8,3,6,1,3,3,2,6,3,3,5,4,3,6,2,2,3,6,7,3,4,8,4,2,4,0,5,3,3,4,3,1,3,6,5,4,3,4,5,6,2,0,3,2,4,3,3,5,3,9,2,3,2,2,2,2,6,8,6,6,2,4,2,6,3,6,2,2,3,4,5,4,3,4,3,3,3,0,4,3,5,4,3,3,4,7,4,2,1,5,4,5,4,4,2,5,3,5,9
"13",NA,3,4,3,2,5,2,4,0,4,4,2,5,1,4,5,5,4,2,0,7,6,3,2,3,4,3,2,3,6,2,1,4,4,4,3,7,6,8,2,5,3,5,4,3,7,3,3,5,6,4,7,3,2,5,2,4,6,4,4,1,3,1,0,2,4,7,7,2,2,3,3,2,4,2,4,3,4,3,1,7,4,1,4,3,4,2,4,1,3,5,5,0,7,4,3,0,5,6,4,4
"14",NA,0,4,6,3,2,7,2,1,1,5,3,5,7,1,2,5,2,1,1,2,4,1,6,2,2,5,2,4,2,3,2,2,2,6,4,2,2,6,5,6,4,3,2,5,3,4,6,5,4,4,4,5,4,3,3,3,5,5,2,2,4,5,3,0,3,3,6,5,6,7,2,3,3,5,4,2,6,3,3,1,4,2,3,2,4,5,3,4,4,4,1,2,3,4,4,5,4,5,1,7
"15",NA,1,1,6,3,7,2,2,3,4,3,5,0,4,6,3,10,2,3,3,6,5,2,5,4,1,4,5,3,7,3,2,6,2,2,3,2,5,7,7,6,2,2,3,3,1,5,3,5,3,6,2,1,3,4,2,1,1,4,7,4,5,0,5,6,2,5,5,4,2,4,4,1,3,3,3,4,3,3,3,8,2,1,5,5,6,5,6,3,5,1,2,2,4,4,4,5,1,0,2,1
"16",NA,4,2,4,2,4,5,3,1,4,2,2,2,2,2,4,7,2,4,9,0,3,4,3,1,4,4,4,3,3,7,0,5,6,7,4,5,5,6,2,4,2,4,5,2,6,0,4,3,2,6,4,2,3,7,1,1,3,5,2,6,4,0,2,3,4,2,4,6,3,2,2,3,2,5,4,6,3,3,3,2,2,4,5,4,3,7,7,6,4,7,2,2,5,6,1,4,3,4,5,5
"17",NA,1,3,5,3,3,4,4,1,7,3,1,3,8,3,3,2,2,2,4,5,8,3,5,4,1,5,2,1,5,4,4,3,2,6,5,5,5,5,4,1,4,2,5,4,5,2,5,9,3,6,3,2,4,5,3,2,5,6,3,3,4,4,1,7,5,4,2,2,2,3,7,6,2,4,5,2,2,3,4,3,4,5,6,3,7,7,4,1,4,4,2,9,4,7,6,2,2,5,3,4
"18",NA,5,6,4,3,3,5,2,5,3,12,3,2,7,3,7,5,3,1,4,11,5,4,2,5,4,4,2,6,5,5,6,5,4,5,9,6,4,4,6,1,3,2,4,3,4,2,7,8,5,4,8,5,1,9,6,2,3,3,1,7,5,2,3,8,8,6,8,3,7,5,7,4,1,7,5,9,1,5,3,1,2,1,2,4,2,6,7,5,7,6,4,4,3,9,10,7,6,3,5,9
"19",NA,4,6,7,4,4,5,6,5,2,8,3,7,4,11,7,7,5,7,4,7,5,5,3,5,2,3,5,9,5,8,11,3,9,2,7,9,5,6,4,4,6,10,8,9,8,9,6,10,4,0,7,7,2,11,5,3,8,3,5,11,4,6,4,5,9,8,5,6,6,7,4,7,4,11,4,9,7,8,5,2,5,7,7,5,8,7,8,2,4,15,5,8,6,4,7,8,5,2,8,5
"20",NA,7,10,9,6,8,9,6,2,6,9,2,10,6,5,4,8,6,8,10,6,6,4,7,7,5,0,3,7,8,12,8,10,4,12,9,4,9,6,5,4,12,8,12,6,7,7,9,12,5,7,8,9,2,10,7,7,12,8,7,11,5,5,5,9,7,5,10,7,5,4,9,9,5,6,14,9,7,10,6,3,8,4,7,11,9,7,5,5,8,9,9,9,6,10,14,8,5,9,7,10
"21",NA,6,11,6,14,10,9,7,5,7,11,5,9,7,12,6,12,7,3,8,11,6,8,5,10,7,6,4,10,12,10,14,8,6,7,6,7,7,8,7,6,6,11,12,5,15,5,12,9,7,5,16,7,6,12,10,7,7,6,10,17,10,8,5,10,12,6,14,8,8,13,12,7,4,10,9,12,10,6,5,9,7,8,11,10,11,10,9,5,8,14,11,10,13,14,9,11,13,12,6,7
"22",NA,7,11,11,11,14,9,11,4,7,14,11,9,10,11,9,8,13,12,12,13,13,5,8,15,11,5,7,11,12,10,18,11,8,12,16,8,14,12,6,5,7,8,11,9,18,6,13,11,12,11,12,11,4,12,11,8,11,10,11,15,7,8,11,13,15,13,15,14,11,15,12,7,10,12,14,12,6,8,10,7,5,10,11,9,12,17,7,6,15,14,15,13,12,13,12,11,11,8,6,14
"23",NA,8,8,12,11,12,16,16,5,11,17,10,10,18,10,14,10,10,12,15,15,10,8,6,7,13,7,4,15,16,18,21,14,14,13,19,11,14,15,15,7,15,9,12,13,14,14,13,14,7,11,14,13,12,10,13,14,14,13,15,10,8,13,9,16,12,13,15,14,16,16,9,10,10,13,16,11,10,15,7,13,8,10,8,9,20,15,14,14,16,13,16,15,14,16,15,15,9,16,9,10
"24",NA,13,18,15,17,11,12,13,8,15,18,6,16,22,15,13,16,12,8,17,11,13,12,10,14,11,10,6,16,18,15,16,12,14,17,24,11,13,7,11,8,10,12,18,10,16,10,16,21,18,13,19,13,10,12,11,10,18,12,14,15,13,11,7,14,10,17,15,12,16,22,12,12,8,12,19,13,14,12,11,13,8,7,10,15,22,19,10,11,15,18,19,13,14,15,17,15,9,19,17,15
