"","x"
"1",3692
"2",3662
"3",3612
"4",3706
"5",3685
"6",3360
"7",3668
"8",3724
"9",3756
"10",3744
"11",3592
"12",3342
"13",3346
"14",3364
"15",3672
"16",3814
"17",3714
"18",3419
"19",3728
"20",3688
"21",3717
"22",3302
"23",3566
"24",3724
"25",3686
"26",3604
"27",3665
"28",3569
"29",3757
"30",3563
"31",3765
"32",3467
"33",3045
"34",3644
"35",3664
"36",3722
"37",3712
"38",3654
"39",3592
"40",3688
"41",3363
"42",3659
"43",3314
"44",3467
"45",3244
"46",3689
"47",3642
"48",3619
"49",3727
"50",3711
"51",3739
"52",3678
"53",3562
"54",3211
"55",3209
"56",3607
"57",3654
"58",3326
"59",3283
"60",3693
"61",3755
"62",3341
"63",3276
"64",3630
"65",3645
"66",3780
"67",3283
"68",3775
"69",3724
"70",3844
"71",3737
"72",3748
"73",3276
"74",3677
"75",3259
"76",3629
"77",3723
"78",3868
"79",3398
"80",3609
"81",3697
"82",3433
"83",3685
"84",3715
"85",3308
"86",3620
"87",3138
"88",3797
"89",3730
"90",3664
"91",3691
"92",3674
"93",3736
"94",3795
"95",3588
"96",3724
"97",3750
"98",3361
"99",3708
"100",3658
