"","x"
"1",4553
"2",3125
"3",2829
"4",3913
"5",3184
"6",3666
"7",2927
"8",4416
"9",3268
"10",2910
"11",4895
"12",3695
"13",3039
"14",2910
"15",3299
"16",2872
"17",4183
"18",4199
"19",3070
"20",2981
"21",3014
"22",4309
"23",3322
"24",3789
"25",3168
"26",4526
"27",4674
"28",3031
"29",3931
"30",2903
"31",2816
"32",2820
"33",2860
"34",2886
"35",2552
"36",3172
"37",2908
"38",3137
"39",3167
"40",3733
"41",4018
"42",4088
"43",2957
"44",4582
"45",3107
"46",3180
"47",2959
"48",2996
"49",2859
"50",3134
"51",2787
"52",3246
"53",4805
"54",3128
"55",4410
"56",4129
"57",2528
"58",3665
"59",3158
"60",2733
"61",3562
"62",4094
"63",4620
"64",2718
"65",3387
"66",3026
"67",2923
"68",2791
"69",3177
"70",2832
"71",3176
"72",4124
"73",4312
"74",2854
"75",2754
"76",3414
"77",3376
"78",3113
"79",4076
"80",3146
"81",4429
"82",3584
"83",3000
"84",3012
"85",2669
"86",3131
"87",3434
"88",3346
"89",2968
"90",3133
"91",2548
"92",3207
"93",2763
"94",2823
"95",2850
"96",2805
"97",3047
"98",2919
"99",3679
"100",3385
