"","x"
"1",12
"2",8
"3",14
"4",18
"5",17
"6",15
"7",9
"8",10
"9",6
"10",13
"11",15
"12",3
"13",19
"14",12
"15",4
"16",11
"17",2
"18",8
"19",11
"20",0
"21",18
"22",21
"23",11
"24",15
"25",15
"26",21
"27",6
"28",19
"29",7
"30",9
"31",19
"32",2
"33",15
"34",12
"35",21
"36",21
"37",19
"38",5
"39",5
"40",7
"41",16
"42",0
"43",3
"44",21
"45",14
"46",3
"47",9
"48",18
"49",11
"50",17
"51",16
"52",5
"53",8
"54",17
"55",8
"56",3
"57",8
"58",0
"59",19
"60",16
"61",8
"62",9
"63",14
"64",3
"65",9
"66",20
"67",8
"68",21
"69",20
"70",18
"71",8
"72",6
"73",8
"74",21
"75",15
"76",21
"77",13
"78",7
"79",12
"80",14
"81",18
"82",10
"83",3
"84",18
"85",9
"86",3
"87",1
"88",17
"89",0
"90",0
"91",4
"92",0
"93",21
"94",1
"95",5
"96",13
"97",16
"98",3
"99",8
"100",20
