"","x"
"1",1127
"2",1155
"3",1649
"4",1050
"5",756
"6",1224
"7",2123
"8",1337
"9",1520
"10",1768
"11",1162
"12",1595
"13",1226
"14",922
"15",1779
"16",1571
"17",1205
"18",1297
"19",877
"20",2054
"21",1093
"22",2200
"23",1846
"24",851
"25",1025
"26",1742
"27",2437
"28",2525
"29",917
"30",2118
"31",2364
"32",1098
"33",1961
"34",1026
"35",1917
"36",892
"37",832
"38",1127
"39",1601
"40",889
"41",2217
"42",825
"43",1724
"44",1549
"45",1462
"46",1479
"47",2328
"48",2471
"49",827
"50",951
"51",2220
"52",1385
"53",843
"54",1905
"55",1916
"56",1828
"57",1917
"58",1186
"59",1068
"60",2322
"61",1827
"62",1079
"63",2052
"64",2445
"65",1445
"66",986
"67",1202
"68",1015
"69",1640
"70",1709
"71",1504
"72",1884
"73",1283
"74",1023
"75",1688
"76",1303
"77",1316
"78",1038
"79",1665
"80",1690
"81",2367
"82",1242
"83",945
"84",1668
"85",1155
"86",1105
"87",1803
"88",1387
"89",1625
"90",2183
"91",1850
"92",1829
"93",1246
"94",1203
"95",2191
"96",1101
"97",929
"98",2163
"99",1833
"100",743
