"","x"
"1",1814
"2",2318
"3",1842
"4",1865
"5",2268
"6",2354
"7",2027
"8",2385
"9",2182
"10",2328
"11",2313
"12",2209
"13",2372
"14",2386
"15",2028
"16",2263
"17",971
"18",2267
"19",2420
"20",2136
"21",2311
"22",2257
"23",830
"24",2439
"25",2200
"26",2405
"27",1747
"28",2432
"29",2409
"30",2397
"31",2412
"32",2147
"33",2181
"34",2314
"35",1884
"36",2265
"37",2298
"38",2401
"39",2259
"40",2417
"41",2129
"42",2282
"43",2346
"44",2403
"45",2237
"46",2542
"47",2148
"48",1948
"49",2428
"50",2322
"51",2386
"52",1880
"53",1845
"54",2288
"55",2121
"56",2453
"57",2229
"58",2487
"59",2347
"60",1547
"61",2296
"62",2321
"63",1670
"64",2257
"65",2320
"66",2239
"67",387
"68",2224
"69",2136
"70",2221
"71",2237
"72",2255
"73",1850
"74",2119
"75",2391
"76",2319
"77",2115
"78",2202
"79",2221
"80",2342
"81",2245
"82",2405
"83",2134
"84",901
"85",2537
"86",2242
"87",2227
"88",2240
"89",2509
"90",2362
"91",2175
"92",2422
"93",2434
"94",2233
"95",2430
"96",2082
"97",2132
"98",2375
"99",2486
"100",2418
