"","x"
"1",1910
"2",1887
"3",1836
"4",2392
"5",2216
"6",1338
"7",1952
"8",2635
"9",475
"10",875
"11",1325
"12",2621
"13",1148
"14",2586
"15",2129
"16",1780
"17",637
"18",2563
"19",944
"20",1847
"21",2412
"22",1370
"23",1971
"24",1947
"25",629
"26",892
"27",2010
"28",1753
"29",2455
"30",2286
"31",2769
"32",2121
"33",1836
"34",1967
"35",932
"36",2673
"37",2312
"38",2434
"39",2487
"40",1882
"41",2335
"42",1514
"43",2454
"44",2792
"45",1675
"46",2362
"47",1099
"48",1226
"49",1252
"50",1823
"51",847
"52",1640
"53",2044
"54",1319
"55",1551
"56",1095
"57",2512
"58",2322
"59",1919
"60",2805
"61",2016
"62",1108
"63",672
"64",1647
"65",2818
"66",2269
"67",1880
"68",648
"69",454
"70",1952
"71",2145
"72",2223
"73",2479
"74",2477
"75",2278
"76",2603
"77",2420
"78",2357
"79",2568
"80",1382
"81",2750
"82",2021
"83",590
"84",1946
"85",2203
"86",2260
"87",1531
"88",2509
"89",1952
"90",1883
"91",2736
"92",2211
"93",2729
"94",1723
"95",1191
"96",1530
"97",1821
"98",1932
"99",1304
"100",2290
