"","x"
"1",1590
"2",2064
"3",1810
"4",1794
"5",1822
"6",1649
"7",2135
"8",1692
"9",2136
"10",2228
"11",1536
"12",2352
"13",1576
"14",2173
"15",1777
"16",1786
"17",1871
"18",2038
"19",2065
"20",2136
"21",1768
"22",1943
"23",1469
"24",1696
"25",2170
"26",1487
"27",1935
"28",2020
"29",1762
"30",1628
"31",2145
"32",1883
"33",1718
"34",2381
"35",1716
"36",2171
"37",2033
"38",1466
"39",2036
"40",2095
"41",1536
"42",2011
"43",2070
"44",1850
"45",1895
"46",1614
"47",1598
"48",2107
"49",1872
"50",1902
"51",1681
"52",1472
"53",1771
"54",1768
"55",2066
"56",2163
"57",2199
"58",1816
"59",1754
"60",1884
"61",2148
"62",2011
"63",1831
"64",1953
"65",1960
"66",1559
"67",1906
"68",2042
"69",1958
"70",2015
"71",2231
"72",1494
"73",1952
"74",1788
"75",1971
"76",2100
"77",2240
"78",1723
"79",2007
"80",1846
"81",1622
"82",1503
"83",1813
"84",1692
"85",1887
"86",1895
"87",1662
"88",1971
"89",1963
"90",2201
"91",1816
"92",1744
"93",1824
"94",1954
"95",1721
"96",1949
"97",2007
"98",1841
"99",2222
"100",1640
