"","x"
"1",8276
"2",7811
"3",8061
"4",8076
"5",8047
"6",8228
"7",7732
"8",8177
"9",7736
"10",7641
"11",8330
"12",7519
"13",8293
"14",7701
"15",8092
"16",8078
"17",7995
"18",7834
"19",7804
"20",7740
"21",8106
"22",7927
"23",8402
"24",8174
"25",7698
"26",8377
"27",7933
"28",7856
"29",8115
"30",8239
"31",7729
"32",7991
"33",8148
"34",7487
"35",8156
"36",7700
"37",7836
"38",8402
"39",7833
"40",7774
"41",8332
"42",7860
"43",7798
"44",8019
"45",7976
"46",8251
"47",8268
"48",7763
"49",7998
"50",7972
"51",8190
"52",8406
"53",8101
"54",8104
"55",7805
"56",7706
"57",7676
"58",8052
"59",8116
"60",7988
"61",7720
"62",7858
"63",8037
"64",7914
"65",7907
"66",8311
"67",7965
"68",7826
"69",7911
"70",7857
"71",7633
"72",8367
"73",7924
"74",8081
"75",7898
"76",7772
"77",7625
"78",8147
"79",7869
"80",8030
"81",8240
"82",8373
"83",8052
"84",8178
"85",7984
"86",7973
"87",8209
"88",7901
"89",7901
"90",7666
"91",8056
"92",8124
"93",8052
"94",7922
"95",8150
"96",7923
"97",7862
"98",8032
"99",7650
"100",8235
