"","x"
"1",8509
"2",8597
"3",8117
"4",8627
"5",8509
"6",8500
"7",9042
"8",8836
"9",8919
"10",8714
"11",8603
"12",8258
"13",8834
"14",8810
"15",8134
"16",8460
"17",8655
"18",8868
"19",8775
"20",8703
"21",8335
"22",8651
"23",8149
"24",8776
"25",8306
"26",8721
"27",8410
"28",8618
"29",8177
"30",8427
"31",8444
"32",8617
"33",8278
"34",8403
"35",8934
"36",8518
"37",8331
"38",8919
"39",8670
"40",8313
"41",8830
"42",8810
"43",8381
"44",8393
"45",8541
"46",8803
"47",8381
"48",8634
"49",8760
"50",8531
"51",8315
"52",8860
"53",8744
"54",8538
"55",8785
"56",8553
"57",8848
"58",8607
"59",8372
"60",8646
"61",8518
"62",8636
"63",8667
"64",8596
"65",8939
"66",8267
"67",8693
"68",8743
"69",8675
"70",8883
"71",8935
"72",8802
"73",8401
"74",8470
"75",8692
"76",8584
"77",8599
"78",8345
"79",8535
"80",8258
"81",8621
"82",8515
"83",8469
"84",8257
"85",8266
"86",8735
"87",8159
"88",8172
"89",8239
"90",8799
"91",8522
"92",8282
"93",8739
"94",8505
"95",8834
"96",8803
"97",8542
"98",8338
"99",8505
"100",8604
