"","x"
"1",2073
"2",1483
"3",1864
"4",2866
"5",1970
"6",1819
"7",2526
"8",1801
"9",2259
"10",2327
"11",1749
"12",2721
"13",2061
"14",2373
"15",1941
"16",1543
"17",1936
"18",1936
"19",2037
"20",2145
"21",1990
"22",2228
"23",2635
"24",2671
"25",1761
"26",2438
"27",1956
"28",1613
"29",1959
"30",1547
"31",2232
"32",2468
"33",1926
"34",1943
"35",2778
"36",1932
"37",2667
"38",2017
"39",1877
"40",2182
"41",2217
"42",1961
"43",2319
"44",1988
"45",1846
"46",2064
"47",2236
"48",1879
"49",1674
"50",1810
"51",1866
"52",1522
"53",2103
"54",2086
"55",2100
"56",3056
"57",1911
"58",1834
"59",2159
"60",2074
"61",1887
"62",1917
"63",2736
"64",2313
"65",2360
"66",1751
"67",2146
"68",1832
"69",1862
"70",2250
"71",1700
"72",1713
"73",2175
"74",1789
"75",2012
"76",2270
"77",1716
"78",1572
"79",2498
"80",1557
"81",2273
"82",1849
"83",1572
"84",2124
"85",1824
"86",1972
"87",1961
"88",2155
"89",2464
"90",1854
"91",2571
"92",2271
"93",1610
"94",2916
"95",2294
"96",1993
"97",1917
"98",1639
"99",2122
"100",1803
