"","x"
"1",7796
"2",8390
"3",8007
"4",7007
"5",7907
"6",8050
"7",7346
"8",8070
"9",7616
"10",7547
"11",8125
"12",7150
"13",7812
"14",7500
"15",7920
"16",8324
"17",7931
"18",7941
"19",7837
"20",7723
"21",7882
"22",7638
"23",7238
"24",7196
"25",8113
"26",7437
"27",7915
"28",8253
"29",7915
"30",8326
"31",7637
"32",7406
"33",7944
"34",7933
"35",7087
"36",7943
"37",7201
"38",7857
"39",7992
"40",7679
"41",7653
"42",7906
"43",7554
"44",7886
"45",8021
"46",7813
"47",7632
"48",7990
"49",8202
"50",8061
"51",8009
"52",8347
"53",7774
"54",7789
"55",7763
"56",6816
"57",7956
"58",8039
"59",7714
"60",7792
"61",7980
"62",7953
"63",7134
"64",7556
"65",7507
"66",8122
"67",7722
"68",8039
"69",8012
"70",7619
"71",8175
"72",8158
"73",7697
"74",8084
"75",7862
"76",7599
"77",8158
"78",8296
"79",7366
"80",8315
"81",7601
"82",8021
"83",8303
"84",7749
"85",8051
"86",7895
"87",7907
"88",7714
"89",7403
"90",8015
"91",7295
"92",7602
"93",8261
"94",6953
"95",7576
"96",7878
"97",7964
"98",8226
"99",7747
"100",8063
