"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,9,9,0,7,14,5,9,2,6,2,9,11,6,5,2,5,1,5,6,0,5,2,8,2,8,4,5,0,0,1,2,0,9,7,4,8,9,2,4,1,14,8,3,3,12,12,4,6,4,6,3,3,6,9,10,8,2,6,4,1,12,4,8,2,3,9,1,2,9,3,3,8,2,6,4,5,9,6,6,5,4,3,0,9,4,6,1,7,6,2,2,9,2,10,1,6,2,2,1,3
"2",NA,10,5,1,2,10,5,6,1,2,1,6,7,10,2,1,7,4,7,8,0,4,0,10,2,8,3,2,1,1,2,2,4,8,6,3,7,6,1,5,0,14,15,4,3,8,2,6,2,5,8,4,4,5,3,8,7,5,9,1,4,4,2,7,3,5,13,2,7,6,4,0,8,1,5,6,4,14,14,5,6,4,4,8,6,1,8,1,6,4,3,3,3,1,7,1,8,2,1,1,6
"3",NA,10,5,1,6,9,2,6,1,3,6,6,4,4,5,3,4,3,6,6,2,5,1,6,1,3,1,6,3,3,0,3,4,8,10,4,7,4,2,4,5,12,9,0,2,9,7,5,3,10,9,11,5,6,5,5,7,5,5,0,4,8,5,8,0,2,4,2,6,5,3,0,6,1,8,7,7,10,6,5,7,2,8,5,10,5,11,0,10,5,5,2,5,2,4,1,8,3,3,0,7
"4",NA,5,5,0,4,7,3,5,2,4,1,7,9,8,8,0,3,2,2,5,3,6,1,9,7,4,4,3,3,2,1,3,4,6,7,0,10,6,1,8,2,6,7,3,4,8,5,10,3,6,6,5,6,9,10,13,6,4,4,0,3,4,3,8,1,4,4,4,4,8,5,0,2,3,4,6,6,8,4,2,8,1,7,4,4,5,6,1,5,4,2,1,1,2,4,0,2,3,1,1,3
"5",NA,10,6,3,4,8,1,4,2,2,2,10,4,7,3,0,4,3,1,7,5,1,3,7,3,6,4,3,4,1,2,3,1,6,7,2,7,3,3,2,1,7,10,3,4,7,11,5,1,2,5,4,3,4,5,5,3,1,2,2,2,1,2,9,0,4,8,1,3,6,5,2,7,3,3,11,2,11,5,2,7,3,6,0,5,4,8,2,7,4,4,2,3,0,7,0,2,4,2,1,3
"6",NA,8,7,1,4,3,2,3,2,2,2,7,8,9,8,2,4,1,4,7,3,10,2,10,3,6,2,0,0,1,1,4,1,3,2,1,5,9,4,7,4,6,6,1,3,6,8,3,5,5,3,3,3,6,3,7,8,2,6,5,2,4,4,9,0,2,5,1,4,7,5,2,4,2,6,9,2,6,8,9,4,4,1,2,2,4,7,2,4,12,3,2,5,4,4,0,5,2,3,1,7
"7",NA,6,2,0,4,6,1,9,5,5,1,9,10,8,4,3,6,1,6,5,6,5,1,6,3,6,1,1,3,1,1,2,4,2,5,3,9,7,3,6,0,5,5,1,2,3,4,6,6,8,5,7,3,4,3,4,2,5,5,2,2,3,3,6,1,4,5,2,7,5,2,1,5,4,5,7,6,10,4,7,13,3,3,2,6,4,6,1,3,3,5,1,4,2,3,3,7,3,2,1,5
"8",NA,12,7,2,3,6,3,5,2,3,2,4,7,6,9,2,9,0,4,3,3,5,1,7,4,3,6,4,2,1,2,3,1,5,3,1,12,8,0,5,2,10,1,2,1,8,4,6,0,2,8,7,1,7,8,5,4,5,11,0,2,9,3,1,1,4,6,3,8,4,5,1,6,1,4,6,3,8,6,5,5,3,5,1,3,5,4,1,5,6,4,4,5,0,8,1,6,5,1,3,2
"9",NA,6,6,1,7,9,2,3,1,2,1,7,6,8,6,0,6,1,3,5,1,6,1,8,4,3,4,0,4,1,0,6,2,10,4,2,10,8,2,6,2,6,11,1,5,3,5,5,3,6,5,3,1,5,4,2,6,5,5,3,2,5,4,6,0,3,7,2,4,2,5,1,3,3,4,4,4,4,4,3,7,0,9,2,7,4,9,4,1,10,2,3,5,2,8,1,5,4,2,2,1
"10",NA,6,6,2,2,4,0,4,3,4,3,3,5,8,5,1,7,2,4,9,3,3,1,4,3,3,5,4,2,1,0,0,3,5,3,3,7,5,0,6,1,6,6,4,5,5,3,13,1,3,9,6,2,7,2,9,3,3,4,1,2,8,7,5,5,5,8,1,5,5,7,1,6,6,4,5,3,4,3,6,3,5,4,3,3,7,7,1,4,2,6,3,4,1,5,2,5,0,1,3,6
