"","x"
"1",3014
"2",2932
"3",1386
"4",2242
"5",3055
"6",1867
"7",2340
"8",1489
"9",1771
"10",1478
"11",2823
"12",2836
"13",2985
"14",2457
"15",1684
"16",2584
"17",1352
"18",2081
"19",2993
"20",1769
"21",2375
"22",1549
"23",3023
"24",1800
"25",2223
"26",2276
"27",1941
"28",1818
"29",1608
"30",1192
"31",1633
"32",1972
"33",2610
"34",2228
"35",1615
"36",2714
"37",2907
"38",1432
"39",2239
"40",1720
"41",2911
"42",2903
"43",1418
"44",1988
"45",2665
"46",2493
"47",2615
"48",1743
"49",2544
"50",2801
"51",2502
"52",2239
"53",2713
"54",2459
"55",2971
"56",2375
"57",2200
"58",2212
"59",1760
"60",1621
"61",2525
"62",2188
"63",2743
"64",1472
"65",2054
"66",2959
"67",1413
"68",2284
"69",2430
"70",2300
"71",1436
"72",2550
"73",1429
"74",2578
"75",2512
"76",2192
"77",2805
"78",2869
"79",2455
"80",2497
"81",2325
"82",2340
"83",1986
"84",2503
"85",2258
"86",2777
"87",1807
"88",2442
"89",2316
"90",1947
"91",1374
"92",2241
"93",1601
"94",2435
"95",1177
"96",2489
"97",2071
"98",1542
"99",1159
"100",2119
