"","x"
"1",6854
"2",6940
"3",8485
"4",7628
"5",6816
"6",8002
"7",7531
"8",8379
"9",8098
"10",8394
"11",7053
"12",7034
"13",6881
"14",7411
"15",8192
"16",7288
"17",8518
"18",7794
"19",6877
"20",8105
"21",7497
"22",8324
"23",6850
"24",8070
"25",7643
"26",7592
"27",7930
"28",8047
"29",8257
"30",8683
"31",8237
"32",7897
"33",7264
"34",7639
"35",8260
"36",7150
"37",6958
"38",8440
"39",7635
"40",8151
"41",6967
"42",6966
"43",8457
"44",7880
"45",7211
"46",7373
"47",7255
"48",8129
"49",7329
"50",7069
"51",7373
"52",7629
"53",7153
"54",7414
"55",6900
"56",7494
"57",7669
"58",7661
"59",8116
"60",8253
"61",7350
"62",7685
"63",7133
"64",8398
"65",7816
"66",6909
"67",8456
"68",7583
"69",7439
"70",7571
"71",8438
"72",7323
"73",8440
"74",7296
"75",7360
"76",7675
"77",7063
"78",7005
"79",7416
"80",7378
"81",7545
"82",7530
"83",7880
"84",7368
"85",7611
"86",7095
"87",8065
"88",7429
"89",7553
"90",7921
"91",8494
"92",7633
"93",8275
"94",7436
"95",8697
"96",7386
"97",7801
"98",8326
"99",8719
"100",7753
