"","x"
"1",7658
"2",7899
"3",7793
"4",8135
"5",7812
"6",7617
"7",7847
"8",8099
"9",7715
"10",7652
"11",7764
"12",7860
"13",8089
"14",7721
"15",8106
"16",8050
"17",7795
"18",8075
"19",7761
"20",8192
"21",7715
"22",8080
"23",7724
"24",7987
"25",7763
"26",8045
"27",7686
"28",8203
"29",7926
"30",7695
"31",7913
"32",8117
"33",8049
"34",7701
"35",7864
"36",7717
"37",7715
"38",8232
"39",7843
"40",8196
"41",7897
"42",7759
"43",7720
"44",7704
"45",7734
"46",8050
"47",7595
"48",7741
"49",8109
"50",7784
"51",7721
"52",7861
"53",7780
"54",8122
"55",7881
"56",7858
"57",7711
"58",7857
"59",8146
"60",7724
"61",7632
"62",7653
"63",7789
"64",8087
"65",7592
"66",8118
"67",7857
"68",8114
"69",7617
"70",7759
"71",8117
"72",7481
"73",7745
"74",8008
"75",7993
"76",7736
"77",7848
"78",7889
"79",8249
"80",7690
"81",7941
"82",7726
"83",8150
"84",8178
"85",7857
"86",7839
"87",7670
"88",7651
"89",7879
"90",7726
"91",7622
"92",8212
"93",8129
"94",7912
"95",7794
"96",7968
"97",7694
"98",7886
"99",8168
"100",7820
