"","x"
"1",2024
"2",2204
"3",2046
"4",2114
"5",2128
"6",1958
"7",2204
"8",1745
"9",1721
"10",2070
"11",1714
"12",1801
"13",2139
"14",2124
"15",1716
"16",2118
"17",2142
"18",2214
"19",2014
"20",2338
"21",1800
"22",1719
"23",2122
"24",2176
"25",1792
"26",1848
"27",1978
"28",2128
"29",2180
"30",1998
"31",2070
"32",2172
"33",2146
"34",2076
"35",1723
"36",1706
"37",2057
"38",1734
"39",2215
"40",1696
"41",1836
"42",2043
"43",2150
"44",1772
"45",2101
"46",1794
"47",2219
"48",2339
"49",2196
"50",2140
"51",2239
"52",1911
"53",1798
"54",1812
"55",1895
"56",1792
"57",2043
"58",1736
"59",2077
"60",2323
"61",2104
"62",2293
"63",1776
"64",1900
"65",2262
"66",1816
"67",2151
"68",2006
"69",2084
"70",1881
"71",1700
"72",2184
"73",1827
"74",1777
"75",2084
"76",2230
"77",1854
"78",2132
"79",1747
"80",1745
"81",1768
"82",2155
"83",1778
"84",1806
"85",2005
"86",2201
"87",1772
"88",1796
"89",2131
"90",1918
"91",2050
"92",2248
"93",1953
"94",2063
"95",1947
"96",2071
"97",2156
"98",2051
"99",2244
"100",2241
