"","x"
"1",7850
"2",7669
"3",7823
"4",7754
"5",7747
"6",7914
"7",7662
"8",8123
"9",8152
"10",7796
"11",8152
"12",8066
"13",7731
"14",7748
"15",8151
"16",7751
"17",7730
"18",7652
"19",7858
"20",7529
"21",8071
"22",8151
"23",7751
"24",7692
"25",8075
"26",8024
"27",7895
"28",7739
"29",7688
"30",7877
"31",7797
"32",7698
"33",7726
"34",7797
"35",8137
"36",8158
"37",7809
"38",8143
"39",7655
"40",8168
"41",8039
"42",7826
"43",7725
"44",8098
"45",7775
"46",8082
"47",7646
"48",7531
"49",7676
"50",7727
"51",7625
"52",7954
"53",8074
"54",8058
"55",7978
"56",8077
"57",7828
"58",8136
"59",7796
"60",7549
"61",7767
"62",7581
"63",8100
"64",7970
"65",7611
"66",8049
"67",7711
"68",7865
"69",7786
"70",7983
"71",8169
"72",7682
"73",8044
"74",8100
"75",7786
"76",7640
"77",8016
"78",7735
"79",8125
"80",8126
"81",8107
"82",7715
"83",8088
"84",8059
"85",7865
"86",7666
"87",8097
"88",8068
"89",7743
"90",7952
"91",7819
"92",7622
"93",7912
"94",7805
"95",7924
"96",7799
"97",7716
"98",7820
"99",7630
"100",7627
