"","x"
"1",7548
"2",9099
"3",8711
"4",8067
"5",8949
"6",7838
"7",7691
"8",8188
"9",7674
"10",8012
"11",7981
"12",8248
"13",8120
"14",7779
"15",7883
"16",7649
"17",8084
"18",7835
"19",8833
"20",7931
"21",7959
"22",8138
"23",7922
"24",7864
"25",7843
"26",7643
"27",7723
"28",8203
"29",8449
"30",7746
"31",7622
"32",8213
"33",8247
"34",8757
"35",7974
"36",8336
"37",8011
"38",8136
"39",7909
"40",7998
"41",7672
"42",8220
"43",9036
"44",7944
"45",8274
"46",8234
"47",8083
"48",7843
"49",8153
"50",8126
"51",8670
"52",8462
"53",8783
"54",8982
"55",7809
"56",7888
"57",7770
"58",8935
"59",7967
"60",7794
"61",7730
"62",7756
"63",7529
"64",7829
"65",9073
"66",7550
"67",7993
"68",7905
"69",9005
"70",7949
"71",7948
"72",8339
"73",7903
"74",7624
"75",8156
"76",7381
"77",7943
"78",7884
"79",8040
"80",7815
"81",8153
"82",8065
"83",7746
"84",8506
"85",7929
"86",7876
"87",7992
"88",8065
"89",8085
"90",8102
"91",8111
"92",8536
"93",7922
"94",7822
"95",8628
"96",7805
"97",8660
"98",8100
"99",8181
"100",7983
