"","x"
"1",2155
"2",1904
"3",1910
"4",1805
"5",1915
"6",2199
"7",2257
"8",2184
"9",1677
"10",1844
"11",1753
"12",2059
"13",2226
"14",2264
"15",1739
"16",2053
"17",1890
"18",1761
"19",1840
"20",2080
"21",2071
"22",2116
"23",2210
"24",2001
"25",1729
"26",2049
"27",2152
"28",2225
"29",2231
"30",2273
"31",2164
"32",1799
"33",1992
"34",2223
"35",1924
"36",2081
"37",1797
"38",1912
"39",2062
"40",1769
"41",1859
"42",2082
"43",1844
"44",2136
"45",1616
"46",1800
"47",1664
"48",2098
"49",1881
"50",2039
"51",1805
"52",1732
"53",2144
"54",2179
"55",2096
"56",1929
"57",1803
"58",1845
"59",2125
"60",2092
"61",1789
"62",1761
"63",1822
"64",1715
"65",2107
"66",1789
"67",2133
"68",2040
"69",2407
"70",2220
"71",1770
"72",2038
"73",1825
"74",1915
"75",2184
"76",2152
"77",2038
"78",1803
"79",2139
"80",2075
"81",1761
"82",2144
"83",2123
"84",2302
"85",2168
"86",2165
"87",2126
"88",2149
"89",2133
"90",2046
"91",2251
"92",2194
"93",2011
"94",1823
"95",2099
"96",1734
"97",2048
"98",2063
"99",2043
"100",2035
