"","x"
"1",2379
"2",2412
"3",2502
"4",2052
"5",2553
"6",2462
"7",2658
"8",2379
"9",2510
"10",2403
"11",2521
"12",2116
"13",2388
"14",2471
"15",2430
"16",1902
"17",2102
"18",2479
"19",2527
"20",2466
"21",2023
"22",2377
"23",2406
"24",2018
"25",2191
"26",2039
"27",2414
"28",2429
"29",2442
"30",2392
"31",2656
"32",1989
"33",2611
"34",2540
"35",2443
"36",2472
"37",2173
"38",2165
"39",2348
"40",1991
"41",2495
"42",2431
"43",2498
"44",2377
"45",2572
"46",2074
"47",2554
"48",2056
"49",2476
"50",2404
"51",2453
"52",2517
"53",2433
"54",2096
"55",1800
"56",2256
"57",2178
"58",2553
"59",2448
"60",2316
"61",2559
"62",2384
"63",2466
"64",2365
"65",1890
"66",1759
"67",2562
"68",2544
"69",2572
"70",2621
"71",2219
"72",2238
"73",2360
"74",2015
"75",2570
"76",1920
"77",2480
"78",1920
"79",1959
"80",2523
"81",2025
"82",2331
"83",2308
"84",1863
"85",2181
"86",2446
"87",2282
"88",2445
"89",2572
"90",2433
"91",2411
"92",2157
"93",2458
"94",2346
"95",2463
"96",2569
"97",2123
"98",2442
"99",2330
"100",2452
