"","x"
"1",6306
"2",5849
"3",6961
"4",6753
"5",7129
"6",7160
"7",5926
"8",6269
"9",6281
"10",6322
"11",6922
"12",6655
"13",6195
"14",6308
"15",7233
"16",6633
"17",6492
"18",6312
"19",6407
"20",6907
"21",6226
"22",6347
"23",6635
"24",6130
"25",6196
"26",6478
"27",6240
"28",6393
"29",6143
"30",6081
"31",6050
"32",6287
"33",6164
"34",6201
"35",6057
"36",6340
"37",6461
"38",6315
"39",6335
"40",6822
"41",7063
"42",6774
"43",7237
"44",6522
"45",6170
"46",7137
"47",6685
"48",6303
"49",6124
"50",6424
"51",6088
"52",6368
"53",7069
"54",6444
"55",6186
"56",6912
"57",6221
"58",6420
"59",6314
"60",7066
"61",6306
"62",6272
"63",7546
"64",6189
"65",6230
"66",6381
"67",6058
"68",6773
"69",7198
"70",7259
"71",6308
"72",6182
"73",6084
"74",6165
"75",6203
"76",6401
"77",7112
"78",6622
"79",6039
"80",7034
"81",6165
"82",7224
"83",6103
"84",6181
"85",6999
"86",6144
"87",6289
"88",7211
"89",7015
"90",6016
"91",6375
"92",7473
"93",6199
"94",7002
"95",6000
"96",6262
"97",6313
"98",6280
"99",6398
"100",6146
