"","x"
"1",1886
"2",2126
"3",2082
"4",2127
"5",2019
"6",1823
"7",2042
"8",2103
"9",1801
"10",2113
"11",1909
"12",1784
"13",2044
"14",1702
"15",2163
"16",2095
"17",2081
"18",2111
"19",2056
"20",1890
"21",2150
"22",1943
"23",2220
"24",2173
"25",2099
"26",1745
"27",2055
"28",1652
"29",2228
"30",1765
"31",2241
"32",2175
"33",1857
"34",2085
"35",2031
"36",2052
"37",2002
"38",1768
"39",1972
"40",2036
"41",2063
"42",2158
"43",2047
"44",1903
"45",1969
"46",1881
"47",2102
"48",2196
"49",2037
"50",1881
"51",2067
"52",1713
"53",1997
"54",1707
"55",2260
"56",2068
"57",2246
"58",2334
"59",2051
"60",2013
"61",1653
"62",2100
"63",2143
"64",2104
"65",2140
"66",2116
"67",2117
"68",1690
"69",2028
"70",2119
"71",1585
"72",2003
"73",1702
"74",1905
"75",2026
"76",2036
"77",2010
"78",2163
"79",2248
"80",1670
"81",1859
"82",1968
"83",2065
"84",2120
"85",2201
"86",1695
"87",1827
"88",2137
"89",1626
"90",2053
"91",2063
"92",2240
"93",1786
"94",2097
"95",2190
"96",2322
"97",2126
"98",2002
"99",2249
"100",1814
