"","NA.","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]"
"1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"16",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"17",NA,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,6,5
"18",NA,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,8,8,8
"19",NA,13,13,13,13,13,14,13,13,13,13,13,13,13,13,13,14,13,13,13,15
"20",NA,19,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20
"21",NA,27,27,27,27,27,27,27,27,27,27,27,28,27,27,27,27,27,27,27,27
"22",NA,38,38,38,38,39,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
"23",NA,52,52,52,52,54,52,52,52,52,52,52,53,52,52,51,52,52,52,52,52
"24",NA,70,70,70,70,72,71,70,70,70,70,70,73,71,70,69,70,70,70,70,70
"25",NA,92,92,91,91,94,94,92,92,92,92,92,94,94,92,91,93,92,93,92,92
"26",NA,118,118,117,117,122,120,118,120,118,119,119,120,120,119,117,120,118,119,119,120
"27",NA,150,150,149,150,159,155,152,152,149,150,151,154,157,152,149,151,150,150,151,150
"28",NA,189,188,189,189,203,195,190,189,190,189,191,195,197,194,187,192,188,190,188,188
"29",NA,236,234,232,233,248,245,235,234,233,233,234,242,246,237,231,237,237,234,235,234
"30",NA,284,285,284,283,301,302,283,283,286,282,287,298,302,287,282,290,287,285,283,286
"31",NA,340,340,340,341,361,358,338,343,344,338,343,356,361,345,336,353,343,342,339,341
"32",NA,405,401,404,405,430,421,404,403,406,398,406,423,424,407,403,412,405,408,399,408
"33",NA,469,470,472,473,495,493,471,471,475,464,471,501,495,472,465,478,469,473,466,471
"34",NA,534,537,540,544,563,568,542,539,543,534,540,576,575,544,533,544,536,540,534,543
"35",NA,608,612,606,616,634,647,603,606,613,601,609,646,647,614,601,619,611,607,607,613
"36",NA,674,689,671,681,704,716,669,669,678,666,675,712,720,690,668,693,684,680,674,676
"37",NA,715,725,723,729,750,764,714,728,726,720,725,760,774,737,708,737,725,727,712,726
"38",NA,762,771,766,775,810,811,764,764,771,765,769,805,827,787,767,785,775,769,764,774
"39",NA,822,842,810,820,863,859,821,823,812,830,808,864,869,838,816,828,820,810,819,815
"40",NA,853,874,859,866,902,912,863,856,862,868,851,912,921,886,860,872,870,851,855,874
"41",NA,884,901,885,899,955,948,893,880,905,895,874,943,945,931,882,904,899,893,897,893
"42",NA,892,935,907,912,974,973,913,890,913,892,897,973,975,936,891,934,916,893,913,911
"43",NA,909,930,903,922,986,973,923,927,931,909,907,976,977,930,895,922,917,902,900,912
"44",NA,902,903,867,911,946,967,895,917,906,904,895,972,962,924,894,896,898,915,889,901
"45",NA,882,869,855,881,909,926,873,893,879,875,867,929,924,891,875,871,874,883,845,871
"46",NA,838,837,811,835,856,868,810,829,815,840,811,875,886,840,815,825,829,829,799,815
"47",NA,783,788,766,762,790,811,768,759,754,790,756,824,824,790,760,784,781,768,759,763
