"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,1,4,4,4,1,5,2,4,5,9,1,5,4,3,5,5,4,3,5,5
"2",NA,5,8,2,2,1,6,5,4,9,6,6,1,0,1,4,8,6,4,3,4
"3",NA,3,4,4,1,2,3,5,8,6,3,7,1,3,4,4,2,4,1,4,6
"4",NA,4,3,6,2,1,2,4,5,2,3,4,5,2,5,5,3,3,5,8,3
"5",NA,6,2,3,7,5,1,7,4,4,5,2,1,3,1,2,4,7,6,2,6
"6",NA,3,3,5,3,0,5,4,2,3,5,3,4,2,3,4,4,5,5,3,3
"7",NA,6,1,4,5,4,4,1,3,2,5,8,3,7,4,3,2,4,4,6,2
"8",NA,6,4,4,2,4,5,3,3,5,2,6,0,0,5,4,1,3,6,2,3
"9",NA,3,2,3,2,5,2,7,3,4,7,2,3,4,3,5,4,0,6,4,4
"10",NA,5,1,2,5,2,0,4,6,1,1,2,1,1,5,2,2,4,5,5,3
"11",NA,1,1,6,5,2,5,4,3,3,1,2,3,2,3,0,3,4,5,2,6
"12",NA,4,3,2,4,1,5,2,2,4,4,3,2,4,3,4,3,7,3,0,2
"13",NA,3,6,8,4,2,1,2,3,2,6,4,2,3,5,7,6,1,4,6,4
"14",NA,2,6,4,4,3,1,4,5,4,1,3,3,3,1,3,3,4,5,1,1
"15",NA,2,4,2,1,3,2,4,6,5,1,5,7,2,5,7,2,8,1,4,5
"16",NA,6,3,3,5,4,2,6,4,6,3,4,3,3,4,5,1,3,3,2,3
"17",NA,9,6,5,7,3,2,5,8,5,4,2,5,4,3,7,3,10,4,5,3
"18",NA,10,3,4,3,5,1,11,6,5,8,3,4,4,6,7,4,8,6,2,0
"19",NA,10,1,2,5,5,7,16,11,10,8,5,5,9,9,10,6,12,10,6,5
"20",NA,12,12,7,8,4,4,12,6,14,7,4,2,10,12,12,8,10,10,11,8
"21",NA,15,12,10,11,4,6,10,8,18,9,9,8,10,12,15,9,12,11,11,11
"22",NA,15,15,12,15,5,9,16,11,14,17,10,7,12,17,18,8,12,12,14,9
"23",NA,16,17,13,16,8,11,12,16,19,14,12,6,11,12,16,16,18,17,15,12
"24",NA,18,18,21,26,10,9,15,14,14,15,17,12,11,17,21,10,17,12,15,18
"25",NA,23,20,25,26,10,16,21,13,22,15,15,15,17,17,22,13,22,20,17,14
"26",NA,25,23,27,24,9,13,17,19,28,26,20,14,10,18,29,21,25,24,23,27
"27",NA,25,28,25,24,9,16,26,27,21,25,20,16,15,16,31,19,28,21,31,29
"28",NA,22,24,30,28,14,13,23,25,30,28,28,16,13,24,32,21,18,27,23,24
"29",NA,32,28,29,32,16,14,33,32,25,34,25,16,14,26,33,22,27,29,33,27
"30",NA,33,34,34,31,18,21,37,28,28,36,30,21,18,27,40,20,30,30,34,34
"31",NA,29,35,31,30,17,22,30,34,30,38,30,20,21,30,30,28,31,27,38,26
"32",NA,37,33,32,32,23,21,33,33,30,38,35,17,21,34,41,30,37,33,36,36
"33",NA,41,38,36,32,26,22,33,37,34,38,35,20,19,32,40,35,39,36,39,32
"34",NA,35,33,40,33,27,21,44,39,35,42,37,24,23,34,42,30,33,39,36,35
"35",NA,40,30,42,38,28,25,42,44,39,44,40,27,23,30,42,30,33,35,40,41
"36",NA,46,43,38,37,30,26,45,33,38,38,38,27,22,34,51,35,41,38,49,37
"37",NA,43,40,43,38,24,27,41,47,40,43,41,29,22,33,36,34,37,42,40,38
"38",NA,31,23,40,36,23,25,32,31,40,27,43,21,24,29,36,34,36,41,33,39
"39",NA,37,31,30,29,23,18,31,36,29,31,34,19,17,24,31,28,27,35,35,24
"40",NA,31,28,32,27,13,17,29,34,23,29,36,19,20,18,34,26,28,26,25,32
"41",NA,33,18,26,27,15,14,25,33,28,36,28,13,13,24,33,19,25,35,26,26
"42",NA,22,23,28,21,11,15,21,15,18,22,24,14,14,23,28,26,24,25,31,25
"43",NA,21,25,36,20,20,11,27,19,24,20,23,10,13,17,21,26,24,15,24,22
"44",NA,18,23,21,20,17,15,20,17,20,21,22,15,15,19,19,21,20,20,31,22
"45",NA,19,17,24,20,18,17,29,25,28,17,27,15,11,20,27,22,21,23,27,26
"46",NA,18,16,19,26,19,14,18,26,25,16,23,11,13,16,22,15,17,22,19,21
"47",NA,27,21,23,26,14,12,21,22,27,22,22,12,15,22,20,23,22,26,21,17
"48",NA,32,21,25,16,10,12,21,23,19,24,24,13,10,17,15,19,23,15,15,26
"49",NA,15,17,21,22,12,12,20,23,22,19,17,13,12,9,16,17,27,21,26,24
"50",NA,17,19,16,25,15,14,18,20,19,25,18,14,10,15,25,14,14,24,23,22
"51",NA,23,25,23,16,14,8,27,24,17,25,23,11,8,20,21,22,16,19,17,16
"52",NA,24,23,20,19,15,13,18,15,17,16,25,14,9,14,18,14,22,21,19,19
"53",NA,24,15,25,18,14,13,23,20,18,22,18,13,10,16,22,13,15,23,19,15
"54",NA,22,21,26,19,12,12,19,15,23,16,21,15,14,15,27,21,18,24,15,15
"55",NA,24,28,22,23,19,18,22,21,18,23,24,14,11,18,22,22,17,20,26,25
"56",NA,27,22,23,23,15,16,26,24,23,22,23,15,17,17,32,24,20,24,19,23
