"","x"
"1",7778
"2",6260
"3",6107
"4",6091
"5",7171
"6",6413
"7",7049
"8",7543
"9",6321
"10",7180
"11",6304
"12",6399
"13",7159
"14",7594
"15",6547
"16",7286
"17",7119
"18",7677
"19",7291
"20",8173
"21",7802
"22",7835
"23",6844
"24",6585
"25",6190
"26",6619
"27",6690
"28",7221
"29",7744
"30",7054
"31",7707
"32",6687
"33",7657
"34",6573
"35",6963
"36",7935
"37",6254
"38",7424
"39",6465
"40",7540
"41",6959
"42",7499
"43",7603
"44",7619
"45",7757
"46",7069
"47",7718
"48",7900
"49",7352
"50",6197
"51",6732
"52",6496
"53",7177
"54",7478
"55",7720
"56",6813
"57",7121
"58",6586
"59",7178
"60",7139
"61",6810
"62",6974
"63",7713
"64",6919
"65",7667
"66",7307
"67",7882
"68",7313
"69",7744
"70",8094
"71",6670
"72",7220
"73",7156
"74",7752
"75",7555
"76",7703
"77",6993
"78",6801
"79",7582
"80",7960
"81",7959
"82",6890
"83",6185
"84",7208
"85",7727
"86",7737
"87",8000
"88",7664
"89",7374
"90",7835
"91",7488
"92",7842
"93",7832
"94",6496
"95",7641
"96",7481
"97",6814
"98",7515
"99",7151
"100",7681
