"","x"
"1",4403
"2",6178
"3",6168
"4",5467
"5",4067
"6",5897
"7",6237
"8",5841
"9",5995
"10",6544
"11",6510
"12",5959
"13",4762
"14",5586
"15",5833
"16",4702
"17",4856
"18",4393
"19",6106
"20",5715
"21",5549
"22",5440
"23",4859
"24",3973
"25",5503
"26",6110
"27",5938
"28",5931
"29",5853
"30",4899
"31",6231
"32",4272
"33",5829
"34",6492
"35",5880
"36",5189
"37",6088
"38",5956
"39",4823
"40",5441
"41",6523
"42",5806
"43",4805
"44",4238
"45",4895
"46",4769
"47",5989
"48",6282
"49",4803
"50",4900
"51",6188
"52",5761
"53",6258
"54",4393
"55",5875
"56",5522
"57",6040
"58",5729
"59",4469
"60",5764
"61",5055
"62",5918
"63",5081
"64",5966
"65",5661
"66",5974
"67",5721
"68",5990
"69",6147
"70",5884
"71",5938
"72",5507
"73",4896
"74",4919
"75",5759
"76",5959
"77",4596
"78",5492
"79",6007
"80",4195
"81",4250
"82",5427
"83",6375
"84",5416
"85",5021
"86",5528
"87",4523
"88",6046
"89",6083
"90",5914
"91",5743
"92",5943
"93",4545
"94",5927
"95",3833
"96",6008
"97",5683
"98",5886
"99",5481
"100",6041
