"","x"
"1",5473
"2",3709
"3",3719
"4",4423
"5",5816
"6",3987
"7",3650
"8",4050
"9",3895
"10",3348
"11",3378
"12",3927
"13",5123
"14",4304
"15",4055
"16",5183
"17",5029
"18",5488
"19",3783
"20",4173
"21",4335
"22",4443
"23",5030
"24",5906
"25",4380
"26",3776
"27",3949
"28",3952
"29",4029
"30",4985
"31",3656
"32",5612
"33",4063
"34",3395
"35",4006
"36",4700
"37",3794
"38",3932
"39",5062
"40",4444
"41",3364
"42",4080
"43",5080
"44",5641
"45",4987
"46",5119
"47",3898
"48",3612
"49",5086
"50",4988
"51",3701
"52",4130
"53",3630
"54",5493
"55",4015
"56",4363
"57",3846
"58",4162
"59",5416
"60",4120
"61",4834
"62",3972
"63",4809
"64",3920
"65",4227
"66",3911
"67",4167
"68",3897
"69",3744
"70",4010
"71",3953
"72",4383
"73",4986
"74",4967
"75",4123
"76",3929
"77",5282
"78",4400
"79",3885
"80",5687
"81",5629
"82",4460
"83",3515
"84",4468
"85",4856
"86",4357
"87",5362
"88",3839
"89",3804
"90",3975
"91",4143
"92",3945
"93",5336
"94",3959
"95",6047
"96",3882
"97",4210
"98",3997
"99",4413
"100",3843
