"","x"
"1",3107
"2",3149
"3",3162
"4",2416
"5",2321
"6",3021
"7",3077
"8",3059
"9",2978
"10",3013
"11",2516
"12",2351
"13",2889
"14",2343
"15",3145
"16",3057
"17",3003
"18",2278
"19",2304
"20",3202
"21",2929
"22",2939
"23",2977
"24",3087
"25",2701
"26",2226
"27",3015
"28",3107
"29",2969
"30",2878
"31",2489
"32",3101
"33",2295
"34",3175
"35",2323
"36",3021
"37",3125
"38",2846
"39",3035
"40",3122
"41",3002
"42",3133
"43",2914
"44",2499
"45",2556
"46",3081
"47",3046
"48",2980
"49",2535
"50",3139
"51",3062
"52",2676
"53",2985
"54",3224
"55",2910
"56",2912
"57",2233
"58",2175
"59",2984
"60",2925
"61",3095
"62",3040
"63",2954
"64",3094
"65",3162
"66",2544
"67",2389
"68",2507
"69",3157
"70",3140
"71",2832
"72",2522
"73",3034
"74",2151
"75",3029
"76",2407
"77",2342
"78",2931
"79",3070
"80",3145
"81",2625
"82",3003
"83",3022
"84",3054
"85",3157
"86",3148
"87",3025
"88",2305
"89",2451
"90",2611
"91",2537
"92",3060
"93",3104
"94",2603
"95",3101
"96",2324
"97",3095
"98",3065
"99",3044
"100",3132
