"","x"
"1",6331
"2",6288
"3",6271
"4",6976
"5",7052
"6",6405
"7",6355
"8",6375
"9",6446
"10",6412
"11",6873
"12",7026
"13",6533
"14",7035
"15",6293
"16",6371
"17",6423
"18",7102
"19",7075
"20",6232
"21",6494
"22",6485
"23",6449
"24",6347
"25",6704
"26",7146
"27",6416
"28",6329
"29",6453
"30",6541
"31",6893
"32",6333
"33",7084
"34",6263
"35",7056
"36",6409
"37",6313
"38",6575
"39",6395
"40",6310
"41",6427
"42",6305
"43",6506
"44",6893
"45",6839
"46",6348
"47",6389
"48",6450
"49",6859
"50",6304
"51",6374
"52",6730
"53",6442
"54",6217
"55",6512
"56",6508
"57",7145
"58",7191
"59",6442
"60",6496
"61",6342
"62",6394
"63",6469
"64",6346
"65",6277
"66",6852
"67",6998
"68",6888
"69",6282
"70",6295
"71",6593
"72",6866
"73",6398
"74",7215
"75",6411
"76",6981
"77",7047
"78",6492
"79",6366
"80",6294
"81",6776
"82",6423
"83",6407
"84",6381
"85",6284
"86",6291
"87",6406
"88",7072
"89",6944
"90",6789
"91",6854
"92",6371
"93",6327
"94",6795
"95",6325
"96",7059
"97",6334
"98",6366
"99",6386
"100",6302
