"","NA.","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]"
"1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"16",NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
"17",NA,5,5,5,6,6,5,6,5,5,5,6,5,5,6,6,5,5,6,6,5
"18",NA,8,8,8,9,9,8,9,8,8,8,10,8,8,9,8,8,8,9,9,8
"19",NA,13,13,13,14,14,13,14,13,13,13,14,13,13,14,13,13,13,16,14,13
"20",NA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,19,19
"21",NA,27,27,27,27,27,27,27,27,27,27,28,27,27,28,27,27,27,29,27,28
"22",NA,38,38,38,38,38,39,39,38,38,38,39,38,38,40,38,38,38,40,38,38
"23",NA,52,52,52,53,53,52,53,52,52,52,54,52,52,54,52,52,52,54,52,52
"24",NA,70,70,71,72,70,71,71,71,69,69,73,71,71,73,70,70,70,74,71,70
"25",NA,91,93,92,95,91,95,93,93,91,91,96,93,93,95,91,92,91,96,94,92
"26",NA,119,119,119,124,118,121,120,120,118,118,123,121,119,125,118,119,118,124,120,118
"27",NA,152,150,152,157,150,156,153,154,151,149,157,152,152,158,151,151,150,157,157,152
"28",NA,193,189,190,194,190,195,192,195,192,188,197,190,190,195,190,191,187,202,194,189
"29",NA,234,234,236,245,234,242,240,237,238,233,246,235,236,243,238,236,234,248,240,234
"30",NA,287,282,290,300,285,294,294,287,286,285,299,288,286,298,288,286,284,300,295,283
"31",NA,345,344,349,358,350,345,353,349,342,340,358,348,344,366,346,339,343,364,352,341
"32",NA,406,405,415,433,406,405,416,418,401,402,430,412,409,423,407,410,402,433,413,411
"33",NA,475,470,486,493,473,476,487,482,474,466,501,477,470,498,476,469,467,501,481,478
"34",NA,547,544,558,580,533,546,562,552,543,539,578,543,540,576,548,541,537,576,565,552
"35",NA,611,611,631,641,601,614,629,625,613,606,645,620,607,655,626,611,612,647,636,631
"36",NA,679,675,704,711,668,678,698,696,673,670,714,685,673,738,691,682,672,713,702,689
"37",NA,720,723,754,754,720,720,746,740,722,713,759,729,726,786,729,720,723,764,746,728
"38",NA,783,775,797,806,769,771,793,793,770,769,808,779,775,838,773,769,770,809,791,770
"39",NA,824,806,851,856,816,815,845,838,813,819,851,819,813,877,819,819,807,848,828,813
"40",NA,863,840,885,896,845,840,883,868,855,842,885,849,843,903,852,839,836,896,869,843
"41",NA,887,854,906,906,869,870,899,890,863,860,913,868,867,918,887,853,860,921,904,865
"42",NA,908,868,909,911,868,880,904,899,871,865,924,877,876,924,896,865,870,926,906,882
"43",NA,881,863,900,903,861,870,899,903,874,861,931,872,862,924,887,873,858,907,893,871
"44",NA,866,833,883,893,843,855,884,863,850,836,904,851,842,893,860,836,837,882,863,844
"45",NA,816,801,841,849,815,827,846,837,822,798,865,805,805,859,824,813,793,851,839,808
"46",NA,762,765,799,804,761,766,794,793,759,748,814,764,758,816,775,763,749,799,792,764
"47",NA,716,708,743,750,700,715,737,734,704,683,755,719,696,744,716,709,688,734,736,702
