"","x"
"1",4141
"2",4248
"3",3999
"4",3977
"5",3935
"6",3704
"7",3784
"8",4045
"9",4061
"10",4231
"11",4157
"12",4095
"13",4071
"14",3957
"15",4090
"16",3778
"17",3980
"18",4012
"19",3599
"20",4044
"21",4169
"22",3887
"23",4166
"24",3724
"25",3669
"26",4171
"27",4133
"28",3601
"29",3669
"30",3339
"31",4115
"32",3480
"33",3434
"34",4061
"35",4164
"36",4115
"37",3936
"38",3849
"39",4151
"40",4238
"41",3981
"42",4032
"43",3308
"44",3743
"45",3987
"46",4243
"47",3226
"48",4056
"49",4153
"50",3103
"51",4129
"52",3565
"53",4078
"54",4031
"55",3832
"56",3609
"57",3894
"58",4009
"59",3526
"60",4110
"61",4134
"62",4134
"63",4144
"64",3925
"65",3700
"66",4144
"67",4047
"68",3924
"69",4222
"70",4159
"71",4075
"72",4225
"73",4180
"74",4007
"75",4149
"76",3615
"77",3704
"78",4135
"79",4178
"80",3946
"81",3927
"82",3153
"83",3973
"84",4004
"85",3969
"86",4150
"87",4096
"88",4105
"89",3762
"90",3820
"91",4229
"92",3709
"93",4146
"94",4014
"95",3893
"96",4166
"97",3993
"98",3119
"99",4233
"100",4091
