"","NA.","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]"
"1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"16",NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"17",NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"18",NA,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"19",NA,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"20",NA,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"21",NA,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"22",NA,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
"23",NA,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
"24",NA,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
"25",NA,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
"26",NA,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
"27",NA,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"28",NA,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249
"29",NA,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307
"30",NA,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
"31",NA,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447
"32",NA,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526
"33",NA,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611,611
"34",NA,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699
"35",NA,787,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786,786
"36",NA,872,872,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871
"37",NA,926,926,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925
"38",NA,980,980,980,980,980,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979
"39",NA,1030,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
"40",NA,1068,1068,1068,1068,1068,1068,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067
"41",NA,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093
"42",NA,1104,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
"43",NA,1099,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098
"44",NA,1077,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1075,1076,1076,1076,1076,1075,1076
