"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"2",1,2,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.07,0.1,0.01,0.01,0.01,0.01,0.01,0.07,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"3",1,3,0.01,0.01,0.01,0.01,0.01,0.0783755876233336,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.07,0.01,0.1,0.01,0.01,0.01,0.01,0.0783755876233336,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.0783755876233336,0.1,0.01,0.01,0.01,0.01,0.01,0.0783755876233336,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"4",1,4,0.01,0.01,0.01,0.01,0.0085,0.0844128263121292,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0783755876233336,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.1,0.07,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0783755876233336,0.01,0.1,0.01,0.01,0.01,0.0085,0.0844128263121292,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.1,0.01,0.01,0.0844128263121292,0.1,0.01,0.01,0.01,0.01,0.01,0.0844128263121292,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"5",1,5,0.01,0.01,0.01,0.01,0.00891877938116668,0.0887645509462252,0.01,0.01,0.1,0.01,0.01,0.01,0.07,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0844128263121292,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.0085,0.01,0.07,0.0783755876233336,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0844128263121292,0.01,0.1,0.01,0.01,0.01,0.00891877938116668,0.0887645509462252,0.01,0.01,0.01,0.01,0.0783755876233336,0.01,0.01,0.1,0.01,0.01,0.0887645509462252,0.07,0.01,0.01,0.01,0.01,0.01,0.0887645509462252,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"6",1,6,0.01,0.01,0.01,0.01,0.00922064131560646,0.0919013338808049,0.0085,0.01,0.1,0.01,0.01,0.01,0.0783755876233336,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0887645509462252,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.00891877938116668,0.01,0.0783755876233336,0.0844128263121292,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0887645509462252,0.01,0.1,0.01,0.01,0.01,0.00922064131560646,0.0919013338808049,0.01,0.01,0.01,0.01,0.0844128263121292,0.01,0.01,0.1,0.01,0.01,0.0919013338808049,0.0783755876233336,0.01,0.01,0.01,0.01,0.01,0.0919013338808049,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"7",1,7,0.01,0.01,0.01,0.01,0.00943822754731126,0.0941623701379196,0.00891877938116668,0.01,0.1,0.01,0.01,0.01,0.0844128263121292,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0919013338808049,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0783755876233336,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.00922064131560646,0.01,0.0844128263121292,0.0887645509462252,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0919013338808049,0.01,0.1,0.01,0.01,0.01,0.00943822754731126,0.0941623701379196,0.01,0.01,0.0085,0.01,0.0887645509462252,0.01,0.01,0.1,0.01,0.01,0.0941623701379196,0.0844128263121292,0.01,0.01,0.01,0.01,0.01,0.0941623701379196,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"8",1,8,0.01,0.01,0.01,0.01,0.00959506669404025,0.0957921561520011,0.00922064131560646,0.01,0.1,0.0085,0.01,0.01,0.0887645509462252,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.0085,0.01,0.01,0.01,0.0941623701379196,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0844128263121292,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.00943822754731126,0.01,0.0887645509462252,0.0919013338808049,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.0783755876233336,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0941623701379196,0.01,0.1,0.01,0.01,0.01,0.00959506669404025,0.0957921561520011,0.01,0.01,0.00891877938116668,0.01,0.0919013338808049,0.01,0.01,0.1,0.01,0.01,0.0957921561520011,0.0887645509462252,0.01,0.01,0.01,0.01,0.01,0.0957921561520011,0.07,0.1,0.01,0.01,0.1,0.01,0.01,0.01
"9",1,9,0.01,0.01,0.01,0.01,0.00970811850689598,0.0969669283138084,0.00943822754731126,0.01,0.1,0.00891877938116668,0.01,0.01,0.0919013338808049,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.00891877938116668,0.01,0.01,0.01,0.0957921561520011,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0887645509462252,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.00959506669404025,0.01,0.0919013338808049,0.0941623701379196,0.1,0.07,0.01,0.01,0.1,0.01,0.01,0.01,0.0844128263121292,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0957921561520011,0.01,0.1,0.01,0.01,0.01,0.00970811850689598,0.0969669283138084,0.01,0.01,0.00922064131560646,0.01,0.0941623701379196,0.01,0.01,0.1,0.01,0.01,0.0969669283138084,0.0919013338808049,0.01,0.01,0.01,0.01,0.01,0.0969669283138084,0.0783755876233336,0.07,0.01,0.0085,0.1,0.01,0.01,0.01
"10",1,10,0.01,0.01,0.01,0.01,0.00825190073086158,0.0978137202363267,0.00959506669404025,0.01,0.1,0.00922064131560646,0.01,0.01,0.0643309337165634,0.1,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.00922064131560646,0.01,0.01,0.01,0.0969669283138084,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0919013338808049,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.00970811850689598,0.01,0.0941623701379196,0.0957921561520011,0.1,0.0783755876233336,0.01,0.01,0.1,0.01,0.01,0.01,0.0887645509462252,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.0085,0.1,0.01,0.0969669283138084,0.01,0.07,0.01,0.01,0.01,0.00978960780760005,0.0978137202363267,0.01,0.01,0.00943822754731126,0.01,0.0957921561520011,0.01,0.01,0.1,0.01,0.01,0.0978137202363267,0.0941623701379196,0.01,0.01,0.01,0.01,0.01,0.0978137202363267,0.0844128263121292,0.0783755876233336,0.01,0.00891877938116668,0.1,0.01,0.01,0.01
