"","x"
"1",6759
"2",6276
"3",6674
"4",6315
"5",6740
"6",6908
"7",6459
"8",6424
"9",7417
"10",6753
"11",6232
"12",6770
"13",6000
"14",6668
"15",6442
"16",6517
"17",6603
"18",6753
"19",6434
"20",7027
"21",6389
"22",6005
"23",6433
"24",6747
"25",6923
"26",7460
"27",6527
"28",6989
"29",6703
"30",6722
"31",6845
"32",5894
"33",6575
"34",6855
"35",6518
"36",6371
"37",6620
"38",6546
"39",7305
"40",5938
"41",7094
"42",6270
"43",6067
"44",5883
"45",6741
"46",6406
"47",6909
"48",5983
"49",6736
"50",6634
"51",6493
"52",6502
"53",6464
"54",5993
"55",6858
"56",6632
"57",6472
"58",6512
"59",6000
"60",6515
"61",6118
"62",6144
"63",6435
"64",6211
"65",6993
"66",6230
"67",6128
"68",6408
"69",7034
"70",6545
"71",6641
"72",6310
"73",6289
"74",6166
"75",6663
"76",6018
"77",6575
"78",6228
"79",6774
"80",6219
"81",6862
"82",6455
"83",6351
"84",6592
"85",6643
"86",6772
"87",6099
"88",6467
"89",6827
"90",6139
"91",6233
"92",6954
"93",6799
"94",6602
"95",6164
"96",6538
"97",6480
"98",6519
"99",6260
"100",6497
