"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"2",1,2,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.07,0.01,0.01,0.01,0.01,0.0085,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"3",1,3,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.073,0.01,0.01,0.01,0.01,0.00865,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.0085,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"4",1,4,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0757,0.01,0.0085,0.01,0.01,0.008785,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0085,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.00865,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"5",1,5,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.07813,0.01,0.00865,0.01,0.01,0.0089065,0.01,0.01,0.07,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00865,0.073,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.008785,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"6",1,6,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.080317,0.01,0.008785,0.0085,0.01,0.00901585,0.01,0.01,0.073,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.008785,0.0757,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.0089065,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"7",1,7,0.01,0.01,0.01,0.01,0.01,0.01,0.073,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0085,0.01,0.1,0.01,0.01,0.1,0.01,0.0822853,0.01,0.0089065,0.00865,0.01,0.009114265,0.01,0.01,0.0757,0.01,0.1,0.0085,0.01,0.01,0.01,0.01,0.0085,0.0085,0.01,0.01,0.01,0.01,0.01,0.01,0.0089065,0.07813,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.00901585,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"8",1,8,0.01,0.01,0.01,0.01,0.01,0.01,0.0757,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00865,0.01,0.1,0.01,0.01,0.1,0.01,0.08405677,0.01,0.00901585,0.008785,0.01,0.0092028385,0.01,0.0085,0.07813,0.01,0.1,0.00865,0.01,0.01,0.01,0.01,0.00865,0.00865,0.01,0.01,0.01,0.01,0.01,0.01,0.00901585,0.080317,0.01,0.01,0.01,0.0085,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.009114265,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"9",1,9,0.01,0.01,0.01,0.01,0.01,0.01,0.07813,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.008785,0.01,0.1,0.01,0.01,0.1,0.01,0.085651093,0.01,0.009114265,0.0089065,0.01,0.00928255465,0.01,0.00865,0.080317,0.01,0.1,0.008785,0.01,0.0085,0.01,0.01,0.008785,0.008785,0.01,0.01,0.01,0.01,0.01,0.01,0.009114265,0.0822853,0.01,0.01,0.01,0.00865,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.0085,0.01,0.1,0.01,0.01,0.01,0.01,0.0092028385,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"10",1,10,0.01,0.01,0.01,0.01,0.01,0.01,0.080317,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0089065,0.01,0.1,0.01,0.01,0.1,0.01,0.0870859837,0.01,0.0092028385,0.00901585,0.01,0.009354299185,0.01,0.008785,0.0822853,0.01,0.1,0.0089065,0.01,0.00865,0.01,0.01,0.0089065,0.0089065,0.01,0.01,0.01,0.01,0.01,0.01,0.0092028385,0.08405677,0.01,0.0085,0.01,0.008785,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.073,0.01,0.01,0.01,0.01,0.01,0.01,0.00865,0.01,0.1,0.01,0.01,0.01,0.01,0.00928255465,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"11",1,11,0.01,0.01,0.01,0.01,0.01,0.01,0.0822853,0.01,0.01,0.01,0.01,0.01,0.01,0.073,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00901585,0.01,0.1,0.01,0.01,0.1,0.01,0.08837738533,0.01,0.00928255465,0.009114265,0.01,0.0094188692665,0.01,0.0089065,0.08405677,0.01,0.1,0.00901585,0.01,0.008785,0.01,0.01,0.00901585,0.00901585,0.0085,0.01,0.01,0.01,0.01,0.01,0.00928255465,0.085651093,0.01,0.00865,0.01,0.0089065,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0757,0.01,0.01,0.01,0.01,0.01,0.01,0.008785,0.01,0.07,0.01,0.01,0.01,0.01,0.009354299185,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"12",1,12,0.01,0.0085,0.01,0.01,0.01,0.01,0.08405677,0.01,0.01,0.01,0.01,0.01,0.01,0.0757,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009114265,0.01,0.1,0.01,0.01,0.1,0.01,0.089539646797,0.0085,0.009354299185,0.0092028385,0.01,0.00947698233985,0.01,0.00901585,0.085651093,0.01,0.1,0.009114265,0.01,0.0089065,0.01,0.01,0.009114265,0.009114265,0.00865,0.01,0.01,0.01,0.01,0.01,0.009354299185,0.0870859837,0.01,0.008785,0.01,0.00901585,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07813,0.01,0.01,0.01,0.01,0.01,0.01,0.0089065,0.01,0.073,0.01,0.01,0.01,0.01,0.0094188692665,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"13",1,13,0.01,0.00865,0.01,0.01,0.01,0.01,0.058839739,0.01,0.01,0.01,0.01,0.01,0.01,0.07813,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0092028385,0.01,0.1,0.01,0.01,0.07,0.01,0.0905856821173,0.00865,0.00795115430725,0.00928255465,0.0085,0.009529284105865,0.01,0.009114265,0.0870859837,0.01,0.1,0.0092028385,0.01,0.00901585,0.01,0.01,0.0092028385,0.0092028385,0.008785,0.01,0.01,0.01,0.01,0.01,0.0094188692665,0.08837738533,0.01,0.0089065,0.01,0.009114265,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.080317,0.0085,0.01,0.01,0.01,0.01,0.01,0.007570525,0.01,0.0757,0.01,0.01,0.01,0.01,0.00947698233985,0.01,0.01,0.073,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"14",1,14,0.01,0.008785,0.01,0.01,0.01,0.01,0.0629557651,0.01,0.01,0.01,0.01,0.01,0.01,0.080317,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00928255465,0.01,0.1,0.01,0.01,0.073,0.01,0.09152711390557,0.008785,0.008156038876525,0.009354299185,0.00865,0.0095763556952785,0.01,0.0092028385,0.08837738533,0.01,0.1,0.00928255465,0.01,0.009114265,0.01,0.01,0.00928255465,0.00928255465,0.0089065,0.01,0.01,0.01,0.01,0.01,0.00947698233985,0.089539646797,0.01,0.00901585,0.01,0.0092028385,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0822853,0.00865,0.01,0.01,0.01,0.01,0.01,0.0078134725,0.01,0.07813,0.01,0.01,0.01,0.01,0.009529284105865,0.01,0.01,0.0757,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"15",1,15,0.01,0.0089065,0.01,0.01,0.01,0.01,0.06666018859,0.0085,0.01,0.01,0.01,0.01,0.01,0.0822853,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009354299185,0.01,0.1,0.01,0.01,0.0757,0.01,0.092374402515013,0.0089065,0.0083404349888725,0.0094188692665,0.008785,0.00961872012575065,0.01,0.00928255465,0.089539646797,0.01,0.1,0.009354299185,0.01,0.0092028385,0.01,0.01,0.009354299185,0.009354299185,0.00901585,0.01,0.01,0.01,0.01,0.01,0.009529284105865,0.0905856821173,0.01,0.009114265,0.01,0.00928255465,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08405677,0.008785,0.01,0.01,0.01,0.01,0.01,0.00803212525,0.01,0.080317,0.01,0.01,0.01,0.01,0.0095763556952785,0.01,0.01,0.07813,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"16",1,16,0.01,0.00901585,0.01,0.01,0.01,0.01,0.069994169731,0.00865,0.01,0.01,0.01,0.01,0.01,0.08405677,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0094188692665,0.01,0.1,0.01,0.01,0.07813,0.01,0.0931369622635117,0.00901585,0.00850639148998525,0.00947698233985,0.0089065,0.00965684811317559,0.01,0.009354299185,0.0905856821173,0.01,0.1,0.0094188692665,0.01,0.00928255465,0.01,0.01,0.0094188692665,0.0094188692665,0.009114265,0.01,0.01,0.01,0.01,0.01,0.0095763556952785,0.09152711390557,0.01,0.0092028385,0.01,0.009354299185,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.085651093,0.0089065,0.01,0.01,0.01,0.01,0.01,0.008228912725,0.01,0.0822853,0.01,0.01,0.01,0.01,0.00961872012575065,0.01,0.01,0.080317,0.01,0.01,0.0085,0.01,0.01,0.01,0.01
"17",1,17,0.01,0.009114265,0.01,0.01,0.01,0.01,0.0729947527579,0.008785,0.01,0.0085,0.01,0.01,0.01,0.085651093,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00947698233985,0.01,0.1,0.01,0.01,0.080317,0.01,0.0938232660371605,0.009114265,0.00865575234098672,0.009529284105865,0.00901585,0.00969116330185803,0.01,0.0094188692665,0.09152711390557,0.01,0.1,0.00947698233985,0.01,0.009354299185,0.01,0.01,0.00947698233985,0.00947698233985,0.0092028385,0.01,0.01,0.01,0.01,0.01,0.00961872012575065,0.092374402515013,0.01,0.00928255465,0.01,0.0094188692665,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0870859837,0.00901585,0.01,0.01,0.01,0.01,0.01,0.0084060214525,0.01,0.08405677,0.01,0.01,0.01,0.01,0.00965684811317559,0.01,0.01,0.0822853,0.01,0.01,0.00865,0.01,0.01,0.01,0.01
"18",1,18,0.01,0.0092028385,0.01,0.01,0.01,0.01,0.07569527748211,0.0089065,0.01,0.00865,0.01,0.01,0.01,0.0870859837,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009529284105865,0.01,0.1,0.01,0.01,0.0822853,0.01,0.0944409394334445,0.0092028385,0.00879017710688805,0.0095763556952785,0.009114265,0.00972204697167223,0.01,0.00947698233985,0.092374402515013,0.01,0.1,0.009529284105865,0.01,0.0094188692665,0.01,0.01,0.009529284105865,0.009529284105865,0.00928255465,0.01,0.1585,0.01,0.01,0.01,0.00965684811317559,0.0931369622635117,0.01,0.009354299185,0.01,0.00947698233985,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06096018859,0.009114265,0.01,0.01,0.01,0.01,0.01,0.00856541930725,0.01,0.085651093,0.01,0.01,0.01,0.01,0.00969116330185803,0.01,0.01,0.08405677,0.01,0.01,0.008785,0.01,0.01,0.01,0.01
"19",1,19,0.01,0.00928255465,0.01,0.01,0.01,0.01,0.078125749733899,0.00901585,0.01,0.008785,0.01,0.01,0.01,0.08837738533,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0095763556952785,0.01,0.1,0.01,0.01,0.08405677,0.01,0.366108657603411,0.00928255465,0.00891115939619925,0.00961872012575065,0.0092028385,0.009749842274505,0.01,0.009529284105865,0.0931369622635117,0.01,0.37,0.0095763556952785,0.01,0.00947698233985,0.01,0.01,0.0095763556952785,0.0095763556952785,0.009354299185,0.01,0.14365,0.01,0.01,0.01,0.00969116330185803,0.0938232660371605,0.01,0.0094188692665,0.01,0.009529284105865,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.064864169731,0.0092028385,0.01,0.01,0.01,0.01,0.01,0.008708877376525,0.01,0.0870859837,0.01,0.01,0.01,0.01,0.00972204697167223,0.01,0.0085,0.085651093,0.01,0.01,0.0089065,0.01,0.01,0.01,0.01
"20",1,20,0.01,0.009354299185,0.01,0.01,0.01,0.01,0.0803131747605091,0.009114265,0.01,0.0089065,0.01,0.01,0.01,0.089539646797,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00961872012575065,0.01,0.1,0.01,0.01,0.085651093,0.01,0.33949779184307,0.009354299185,0.00902004345657932,0.158175912106888,0.00928255465,0.0097748580470545,0.01,0.0095763556952785,0.0938232660371605,0.01,0.559,0.00961872012575065,0.01,0.009529284105865,0.01,0.01,0.00961872012575065,0.00961872012575065,0.0094188692665,0.01,0.2721025,0.01,0.01,0.01,0.00972204697167223,0.0944409394334445,0.01,0.00947698233985,0.01,0.0095763556952785,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0683777527579,0.00928255465,0.01,0.01,0.01,0.01,0.01,0.0088379896388725,0.01,0.08837738533,0.01,0.01,0.1585,0.01,0.009749842274505,0.01,0.00865,0.0870859837,0.01,0.01,0.00901585,0.01,0.01,0.01,0.01
"21",1,21,0.01,0.0094188692665,0.01,0.01,0.01,0.01,0.0822818572844582,0.0092028385,0.01,0.00901585,0.01,0.01,0.01,0.0905856821173,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00965684811317559,0.01,0.1,0.01,0.01,0.0870859837,0.01,0.537648454290149,0.0094188692665,0.00911803911092139,0.143358320896199,0.009354299185,0.00979737224234905,0.01,0.00961872012575065,0.0944409394334445,0.01,0.6913,0.00965684811317559,0.01,0.0095763556952785,0.01,0.01,0.00965684811317559,0.00965684811317559,0.00947698233985,0.01,0.24589225,0.01,0.01,0.01,0.009749842274505,0.0949968454901,0.01,0.009529284105865,0.01,0.00961872012575065,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07153997748211,0.009354299185,0.01,0.01,0.01,0.01,0.01,0.00895419067498525,0.01,0.089539646797,0.01,0.01,0.14365,0.01,0.0097748580470545,0.01,0.008785,0.08837738533,0.01,0.01,0.009114265,0.01,0.01,0.01,0.01
"22",1,22,0.01,0.00947698233985,0.01,0.01,0.01,0.01,0.0840536715560124,0.00928255465,0.01,0.009114265,0.01,0.01,0.01,0.09152711390557,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00969116330185803,0.01,0.1,0.01,0.01,0.08837738533,0.01,0.676353918003104,0.00947698233985,0.00920623519982925,0.130022488806579,0.0094188692665,0.00981763501811415,0.01,0.00965684811317559,0.0949968454901,0.01,0.63217,0.00969116330185803,0.01,0.00961872012575065,0.01,0.01,0.00969116330185803,0.00969116330185803,0.009529284105865,0.01,0.222303025,0.01,0.01,0.01,0.0097748580470545,0.09549716094109,0.01,0.0095763556952785,0.01,0.00965684811317559,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.074385979733899,0.0094188692665,0.01,0.01,0.01,0.01,0.01,0.00905877160748673,0.1585,0.0905856821173,0.01,0.01,0.130285,0.01,0.00979737224234905,0.01,0.0089065,0.089539646797,0.01,0.1585,0.0092028385,0.01,0.01,0.01,0.01
"23",1,23,0.01,0.009529284105865,0.01,0.01,0.01,0.01,0.0856483044004111,0.009354299185,0.01,0.0092028385,0.01,0.01,0.01,0.092374402515013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00972204697167223,0.01,0.1,0.01,0.01,0.089539646797,0.01,0.618718526202794,0.158055434988873,0.00928561167984633,0.118020239925921,0.00947698233985,0.00983587151630273,0.01,0.00969116330185803,0.09549716094109,0.01,0.742519,0.00972204697167223,0.01,0.00965684811317559,0.01,0.01,0.00972204697167223,0.00972204697167223,0.0095763556952785,0.01,0.2010727225,0.1585,0.01,0.01,0.00979737224234905,0.095947444846981,0.01,0.00961872012575065,0.01,0.00969116330185803,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1585,0.01,0.01,0.01,0.0769473817605091,0.00947698233985,0.01,0.01,0.01,0.01,0.01,0.00915289444673805,0.14365,0.09152711390557,0.01,0.01,0.1182565,0.01,0.00981763501811415,0.01,0.00901585,0.0905856821173,0.01,0.14365,0.00928255465,0.01,0.01,0.01,0.01
"24",1,24,0.01,0.0095763556952785,0.01,0.01,0.01,0.1585,0.08708347396037,0.0094188692665,0.01,0.00928255465,0.01,0.01,0.01,0.0931369622635117,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009749842274505,0.01,0.1,0.01,0.01,0.0905856821173,0.01,0.733102968341956,0.284347119740542,0.00935705051186169,0.107218215933329,0.009529284105865,0.00985228436467246,0.01,0.00972204697167223,0.095947444846981,0.01,0.8197633,0.009749842274505,0.01,0.00969116330185803,0.01,0.01,0.009749842274505,0.009749842274505,0.00961872012575065,0.01,0.18196545025,0.14365,0.01,0.01,0.00981763501811415,0.0963527003622829,0.01,0.00965684811317559,0.1585,0.00972204697167223,0.1585,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14365,0.01,0.01,0.01,0.0792526435844582,0.009529284105865,0.01,0.01,0.01,0.01,0.01,0.00923760500206425,0.130285,0.092374402515013,0.01,0.01,0.10743085,0.1585,0.00983587151630273,0.1585,0.009114265,0.09152711390557,0.01,0.130285,0.009354299185,0.01,0.01,0.01,0.01
"25",1,25,0.01,0.00961872012575065,0.01,0.01,0.01,0.14365,0.088375126564333,0.00947698233985,0.01,0.009354299185,0.01,0.01,0.01,0.0938232660371605,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0097748580470545,0.01,0.1,0.01,0.01,0.09152711390557,0.01,0.813172077839369,0.256912407766487,0.157953492935082,0.0974963943399964,0.0095763556952785,0.00986705592820521,0.01,0.009749842274505,0.0963527003622829,0.01,0.87383431,0.0097748580470545,0.01,0.00972204697167223,0.01,0.01,0.0097748580470545,0.0097748580470545,0.00965684811317559,0.01,0.164768905225,0.130285,0.01,0.01,0.00983587151630273,0.0967174303260546,0.01,0.00969116330185803,0.14365,0.009749842274505,0.14365,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.130285,0.01,0.01,0.01,0.355476850509121,0.0095763556952785,0.01,0.01,0.01,0.1585,0.01,0.00931384450185782,0.1182565,0.0931369622635117,0.01,0.01,0.097687765,0.14365,0.00985228436467246,0.14365,0.0092028385,0.092374402515013,0.01,0.1182565,0.0094188692665,0.01,0.01,0.01,0.01
