"","x"
"1",2995
"2",3476
"3",3066
"4",3101
"5",3397
"6",3168
"7",3882
"8",3110
"9",3090
"10",3393
"11",3767
"12",3755
"13",3743
"14",3312
"15",3858
"16",3751
"17",3308
"18",3054
"19",3722
"20",3225
"21",3685
"22",3850
"23",3205
"24",3459
"25",3172
"26",3784
"27",3288
"28",2964
"29",3615
"30",3639
"31",3142
"32",3082
"33",3736
"34",3158
"35",3115
"36",3258
"37",3580
"38",3681
"39",3441
"40",2855
"41",3823
"42",3847
"43",3460
"44",3264
"45",3094
"46",3155
"47",3436
"48",3735
"49",3899
"50",3829
"51",3545
"52",3774
"53",2957
"54",3307
"55",2966
"56",3471
"57",3094
"58",3567
"59",3041
"60",3555
"61",3435
"62",3637
"63",3550
"64",3632
"65",3472
"66",2928
"67",3221
"68",3751
"69",3205
"70",3906
"71",3836
"72",3482
"73",3422
"74",2789
"75",3278
"76",2879
"77",3251
"78",3031
"79",3481
"80",3609
"81",3474
"82",3455
"83",3681
"84",3222
"85",2864
"86",3207
"87",3111
"88",3378
"89",3413
"90",3834
"91",3073
"92",3203
"93",2945
"94",3157
"95",3369
"96",3061
"97",3103
"98",3232
"99",3184
"100",3606
