"","x"
"1",6877
"2",6402
"3",6805
"4",6768
"5",6482
"6",6700
"7",5990
"8",6764
"9",6777
"10",6481
"11",6102
"12",6115
"13",6133
"14",6560
"15",6013
"16",6121
"17",6558
"18",6818
"19",6147
"20",6644
"21",6185
"22",6025
"23",6661
"24",6408
"25",6697
"26",6091
"27",6585
"28",6912
"29",6259
"30",6231
"31",6730
"32",6786
"33",6138
"34",6711
"35",6758
"36",6609
"37",6289
"38",6192
"39",6428
"40",7019
"41",6051
"42",6022
"43",6410
"44",6613
"45",6780
"46",6715
"47",6432
"48",6139
"49",5974
"50",6045
"51",6327
"52",6096
"53",6913
"54",6560
"55",6903
"56",6393
"57",6775
"58",6302
"59",6830
"60",6312
"61",6434
"62",6232
"63",6320
"64",6240
"65",6404
"66",6942
"67",6654
"68",6125
"69",6673
"70",5966
"71",6035
"72",6397
"73",6444
"74",7085
"75",6589
"76",6995
"77",6615
"78",6836
"79",6383
"80",6267
"81",6394
"82",6413
"83",6187
"84",6645
"85",7013
"86",6665
"87",6760
"88",6496
"89",6459
"90",6040
"91",6801
"92",6665
"93",6926
"94",6714
"95",6504
"96",6813
"97",6770
"98",6638
"99",6686
"100",6263
