"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1
"2",1,2,0.01,0.01,0.01,0.01,0.00895072751166998,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.00895072751166998,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.0370436507001985,0.1,0.01,0.1,0.1,0.0370436507001985,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00895072751166998,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1
"3",1,3,0.01,0.01,0.01,0.01,0.00905565476050298,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.00905565476050298,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.0370436507001985,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.0433392856301786,0.1,0.01,0.1,0.1,0.0433392856301786,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00905565476050298,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.00895072751166998,0.1,0.01,0.01,0.1
"4",1,4,0.01,0.01,0.01,0.01,0.00915008928445268,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.00915008928445268,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.00895072751166998,0.0433392856301786,0.00895072751166998,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.0160544535848047,0.1,0.01,0.1,0.1,0.0490053570671608,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00915008928445268,0.00895072751166998,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0370436507001985,0.00895072751166998,0.1,0.01,0.01,0.01,0.00905565476050298,0.1,0.01,0.01,0.1
"5",1,5,0.01,0.01,0.01,0.01,0.00923508035600741,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.00923508035600741,0.01,0.01,0.0370436507001985,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.00905565476050298,0.0490053570671608,0.00905565476050298,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.0244490082263242,0.1,0.01,0.1,0.1,0.0541048213604447,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00923508035600741,0.00905565476050298,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0433392856301786,0.00905565476050298,0.1,0.01,0.01,0.01,0.00915008928445268,0.1,0.01,0.01,0.1
"6",1,6,0.01,0.01,0.01,0.01,0.00931157232040667,0.00895072751166998,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.00931157232040667,0.01,0.01,0.0433392856301786,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.00915008928445268,0.0541048213604447,0.00915008928445268,0.01,0.01,0.01,0.01,0.1,0.01,0.00895072751166998,0.1,0.01,0.01,0.0320041074036918,0.1,0.01,0.1,0.1,0.0586943392244002,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00931157232040667,0.00915008928445268,0.01,0.01,0.01,0.1,0.0370436507001985,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0490053570671608,0.00915008928445268,0.1,0.01,0.01,0.01,0.00923508035600741,0.0370436507001985,0.01,0.01,0.1
"7",1,7,0.01,0.01,0.01,0.01,0.009380415088366,0.00905565476050298,0.01,0.1,0.0370436507001985,0.1,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.009380415088366,0.01,0.01,0.0490053570671608,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.00923508035600741,0.0586943392244002,0.00923508035600741,0.01,0.01,0.01,0.01,0.1,0.01,0.00905565476050298,0.1,0.01,0.01,0.0388036966633226,0.1,0.01,0.1,0.1,0.0628249053019602,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.009380415088366,0.00923508035600741,0.01,0.01,0.01,0.1,0.0433392856301786,0.01,0.00895072751166998,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0541048213604447,0.00923508035600741,0.1,0.01,0.01,0.01,0.00931157232040667,0.0433392856301786,0.01,0.01,0.1
"8",1,8,0.01,0.01,0.01,0.01,0.0094423735795294,0.00915008928445268,0.01,0.1,0.0433392856301786,0.0370436507001985,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.0094423735795294,0.01,0.01,0.0541048213604447,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.00931157232040667,0.0628249053019602,0.00931157232040667,0.01,0.01,0.01,0.00895072751166998,0.1,0.01,0.00915008928445268,0.1,0.01,0.01,0.0449233269969904,0.1,0.01,0.1,0.1,0.0665424147717642,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.0094423735795294,0.00931157232040667,0.01,0.01,0.01,0.1,0.0490053570671608,0.01,0.00905565476050298,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0586943392244002,0.00931157232040667,0.1,0.01,0.01,0.01,0.009380415088366,0.0490053570671608,0.01,0.01,0.1
"9",1,9,0.01,0.01,0.01,0.01,0.00949813622157646,0.00923508035600741,0.01,0.1,0.0490053570671608,0.0433392856301786,0.1,0.01,0.1,0.01,0.1,0.0370436507001985,0.01,0.1,0.00949813622157646,0.01,0.01,0.0586943392244002,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.009380415088366,0.0665424147717642,0.009380415088366,0.01,0.01,0.01,0.00905565476050298,0.1,0.01,0.00923508035600741,0.1,0.01,0.01,0.0504309942972913,0.1,0.01,0.1,0.1,0.0698881732945878,0.01,0.01,0.1,0.01,0.0370436507001985,0.01,0.01,0.00949813622157646,0.009380415088366,0.01,0.01,0.01,0.1,0.0541048213604447,0.01,0.00915008928445268,0.01,0.01,0.00895072751166998,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0628249053019602,0.009380415088366,0.1,0.01,0.01,0.01,0.0094423735795294,0.0541048213604447,0.01,0.01,0.1
"10",1,10,0.01,0.01,0.01,0.01,0.00954832259941882,0.00931157232040667,0.01,0.1,0.0541048213604447,0.0490053570671608,0.0370436507001985,0.01,0.1,0.01,0.1,0.0433392856301786,0.01,0.1,0.00954832259941882,0.01,0.01,0.0628249053019602,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.0094423735795294,0.0698881732945878,0.0094423735795294,0.01,0.01,0.01,0.00915008928445268,0.1,0.01,0.00931157232040667,0.1,0.01,0.01,0.0553878948675622,0.0370436507001985,0.01,0.1,0.1,0.072899355965129,0.00895072751166998,0.01,0.1,0.01,0.0433392856301786,0.01,0.01,0.00954832259941882,0.0094423735795294,0.01,0.01,0.01,0.1,0.0586943392244002,0.01,0.00923508035600741,0.01,0.01,0.00905565476050298,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0665424147717642,0.0094423735795294,0.1,0.01,0.01,0.01,0.00949813622157646,0.0586943392244002,0.01,0.01,0.1
"11",1,11,0.01,0.01,0.01,0.01,0.00959349033947693,0.009380415088366,0.01,0.1,0.0586943392244002,0.0541048213604447,0.0433392856301786,0.01,0.1,0.01,0.1,0.0490053570671608,0.01,0.1,0.00959349033947693,0.01,0.01,0.0665424147717642,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.0370436507001985,0.01,0.1,0.00895072751166998,0.00949813622157646,0.072899355965129,0.00949813622157646,0.01,0.00895072751166998,0.01,0.00923508035600741,0.1,0.01,0.009380415088366,0.1,0.01,0.01,0.059849105380806,0.0433392856301786,0.01,0.1,0.1,0.0756094203686161,0.00905565476050298,0.01,0.1,0.01,0.0490053570671608,0.01,0.01,0.00959349033947693,0.00949813622157646,0.01,0.01,0.01,0.1,0.0628249053019602,0.01,0.00931157232040667,0.01,0.01,0.00915008928445268,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0246497396955296,0.00949813622157646,0.1,0.01,0.01,0.01,0.00954832259941882,0.0628249053019602,0.01,0.01,0.1
"12",1,12,0.01,0.01,0.01,0.01,0.00963414130552924,0.0094423735795294,0.01,0.0370436507001985,0.0217425260030764,0.0586943392244002,0.0490053570671608,0.01,0.1,0.01,0.1,0.0541048213604447,0.01,0.0370436507001985,0.00963414130552924,0.01,0.01,0.0698881732945878,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.0433392856301786,0.01,0.1,0.00905565476050298,0.00954832259941882,0.0756094203686161,0.00954832259941882,0.01,0.00905565476050298,0.01,0.00931157232040667,0.0370436507001985,0.01,0.0094423735795294,0.1,0.01,0.00895072751166998,0.0638641948427254,0.0490053570671608,0.01,0.1,0.1,0.0780484783317545,0.00915008928445268,0.01,0.1,0.01,0.0541048213604447,0.01,0.01,0.00963414130552924,0.00850152291880536,0.01,0.01,0.01,0.0370436507001985,0.0665424147717642,0.01,0.009380415088366,0.01,0.01,0.00923508035600741,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0321847657259767,0.00850152291880536,0.1,0.01,0.01,0.01,0.00959349033947693,0.0665424147717642,0.01,0.01,0.1
