"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,4,4,4,4,2,4,6,5,3,7,3,2,4,4,3,4,6,4,8,4,5,6,5,3,4,7,2,0,3,7,3,3,4,2,3,0,2,4,2,4,1,4,4,5,2,2,4,0,4,4,1,4,6,7,3,4,2,3,1,4,6,7,7,5,3,4,5,5,7,10,3,3,2,5,7,5,9,4,9,4,5,3,2,5,3,1,4,1,3,4,6,4,4,4,4,2,3,5,4,5
"2",NA,4,3,6,3,4,4,2,2,2,4,4,0,2,5,4,5,6,2,1,3,4,6,4,1,2,5,6,4,1,3,3,7,3,2,3,3,0,2,6,7,4,3,5,5,3,3,3,6,7,4,1,7,2,5,4,4,7,4,5,2,5,6,4,2,1,2,2,3,4,4,4,4,3,5,3,2,7,10,2,2,5,3,6,3,4,2,5,3,3,3,5,4,1,8,7,7,2,5,3,2
"3",NA,2,3,4,3,2,8,8,3,5,5,2,0,3,3,4,5,8,0,1,4,4,1,6,4,2,4,2,4,1,3,6,3,6,4,8,3,6,5,1,5,5,2,5,3,3,2,6,2,2,4,5,9,5,6,3,4,8,4,2,7,4,3,5,3,3,4,3,3,3,1,3,4,6,5,3,5,2,3,4,4,5,6,1,5,5,2,7,2,3,5,2,4,4,5,8,4,0,2,4,0
"4",NA,1,3,5,4,2,5,4,3,7,3,4,4,6,5,6,5,6,3,2,6,3,1,4,3,7,2,5,2,3,8,11,2,5,2,2,1,2,5,2,3,4,6,4,8,7,2,4,2,6,2,6,1,0,5,6,8,5,2,2,4,5,5,3,1,2,7,4,2,2,4,5,2,3,4,5,3,5,2,6,5,5,5,3,4,3,3,4,2,3,9,4,2,2,4,2,4,2,2,1,3
"5",NA,2,6,4,2,2,4,4,5,4,5,6,3,4,4,0,1,4,8,4,2,3,1,7,6,3,4,5,5,3,4,2,1,4,0,4,2,5,4,4,9,1,5,8,5,5,2,4,5,4,7,6,3,4,2,3,5,0,3,1,5,5,2,4,4,3,3,1,6,3,4,6,5,6,5,5,2,4,2,2,2,6,5,1,4,2,0,4,1,4,3,3,2,4,2,3,5,3,6,2,4
"6",NA,4,2,1,3,5,3,4,5,4,7,5,2,6,4,4,4,2,2,5,3,3,5,0,4,2,2,1,1,3,3,3,6,3,4,6,1,10,3,4,4,2,3,4,6,2,3,4,2,1,6,1,2,3,8,2,10,5,5,3,3,3,2,4,5,2,3,4,5,4,2,8,1,7,5,3,2,6,2,4,2,5,1,2,4,4,2,4,3,6,3,4,0,3,8,1,4,3,4,1,2
"7",NA,1,1,11,2,2,2,1,4,2,6,4,3,2,4,2,5,6,3,5,2,2,5,4,2,0,12,5,3,4,2,3,4,2,3,4,3,6,3,3,6,1,3,6,5,1,5,4,3,6,5,4,7,3,6,4,3,1,1,3,2,6,6,8,4,1,4,6,6,4,1,3,5,6,7,5,7,7,5,4,3,5,1,3,4,8,3,4,7,1,3,4,3,2,1,7,3,5,5,2,2
"8",NA,3,3,4,1,4,2,4,5,5,5,2,4,4,2,5,4,0,2,1,3,8,7,7,3,5,7,7,1,3,3,1,3,4,2,5,4,4,2,5,5,2,5,3,5,6,3,2,5,10,2,4,1,6,2,2,4,2,3,2,5,3,4,3,2,3,3,3,4,11,4,1,2,1,3,3,2,5,2,2,1,1,2,3,4,2,1,11,1,2,5,2,2,0,3,8,4,2,3,2,4
"9",NA,3,7,1,6,2,5,2,7,2,5,7,4,5,6,4,4,1,4,4,4,6,3,5,2,0,3,2,1,5,2,1,4,5,2,0,4,6,3,5,3,4,8,2,2,4,3,2,7,4,3,2,5,3,4,4,1,5,2,4,2,7,3,3,3,5,6,5,2,7,5,4,1,4,5,2,3,5,3,4,3,4,4,3,2,0,5,4,5,7,5,3,2,3,2,4,3,5,4,3,7
"10",NA,3,1,3,0,2,3,3,2,4,2,2,2,5,3,2,3,3,5,5,3,3,2,3,7,4,4,5,3,4,3,1,6,5,2,3,4,3,3,1,7,4,4,3,1,3,6,7,4,2,7,2,3,5,3,5,4,6,2,5,2,1,7,2,2,1,2,4,3,2,1,3,4,3,6,4,4,6,5,3,5,4,2,4,3,2,3,2,4,2,5,7,1,3,2,3,7,1,3,1,2
