"","NA.","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)","colSums(zc_forage_loc, na.rm = T)"
"1",NA,21,26,28,21,22,28,26,21,21,29,34,23,25,33,25,20,24,20,25,24
"2",NA,24,20,17,29,28,25,21,24,26,21,22,33,21,23,28,16,19,28,29,24
"3",NA,24,29,16,17,28,28,28,23,21,18,19,21,23,21,22,21,29,21,18,23
"4",NA,22,25,17,19,20,24,20,16,23,19,21,19,23,15,22,26,14,20,16,23
"5",NA,18,16,19,26,21,12,15,21,21,23,18,21,22,14,14,18,17,17,17,15
"6",NA,18,20,19,20,15,18,16,16,18,21,12,17,13,15,14,22,17,17,13,20
"7",NA,21,17,23,19,21,13,15,16,13,14,17,23,19,14,17,13,22,18,21,20
"8",NA,24,20,15,18,18,18,21,14,21,25,18,16,21,17,20,16,16,19,18,23
"9",NA,16,12,12,15,18,16,15,20,17,15,17,15,14,20,17,16,17,17,22,15
"10",NA,16,13,15,17,21,13,16,17,18,16,21,16,24,13,12,11,14,13,14,14
"11",NA,16,17,16,19,18,18,18,14,13,12,20,11,15,20,12,13,24,21,19,20
"12",NA,16,13,12,12,13,13,15,21,24,23,9,16,19,15,18,19,14,15,18,18
"13",NA,14,25,20,14,15,16,19,11,14,19,19,18,14,15,18,16,16,14,12,9
"14",NA,17,15,16,11,16,10,17,19,8,10,15,18,13,21,14,14,10,18,14,16
"15",NA,22,14,18,19,19,10,22,10,16,21,11,16,15,18,15,16,25,17,13,17
"16",NA,13,11,9,11,16,15,14,19,19,12,19,15,14,30,17,21,14,13,21,10
"17",NA,24,21,22,15,20,15,16,14,18,21,18,21,14,16,12,19,10,17,19,19
"18",NA,15,21,8,13,17,18,12,22,18,19,17,14,21,10,14,9,10,14,24,18
"19",NA,17,14,16,11,12,23,14,15,16,12,20,14,9,16,18,16,13,12,15,13
"20",NA,15,18,18,12,19,17,16,15,14,16,16,16,16,12,15,21,18,16,8,18
"21",NA,17,17,21,21,12,19,16,14,16,13,17,15,15,20,17,16,14,20,14,19
"22",NA,17,15,14,15,8,12,14,12,13,15,11,9,15,17,14,9,14,17,15,16
"23",NA,14,18,18,16,11,17,13,9,18,14,25,19,17,12,9,15,18,14,15,10
"24",NA,20,10,18,17,15,20,19,24,22,12,15,15,16,23,18,11,16,16,11,19
"25",NA,13,19,17,17,24,18,17,13,20,14,20,16,17,13,19,17,15,15,15,14
"26",NA,18,19,19,17,18,8,17,20,16,9,14,12,20,15,17,13,12,20,15,17
"27",NA,14,27,21,10,20,17,15,21,21,19,12,22,20,17,17,21,19,18,14,25
"28",NA,22,30,29,24,33,24,19,36,31,31,27,30,22,31,30,25,31,26,21,27
"29",NA,42,33,29,34,38,29,32,29,25,31,32,35,30,33,40,33,28,34,34,37
"30",NA,38,40,43,35,36,31,41,43,38,36,40,40,41,45,34,39,37,50,32,39
"31",NA,47,50,51,51,55,51,48,50,37,49,42,48,45,49,47,43,42,59,48,39
"32",NA,57,58,56,54,57,57,47,59,48,54,45,58,48,55,55,46,48,57,45,54
"33",NA,56,59,54,62,67,60,55,51,61,53,57,60,55,53,63,58,56,55,57,68
"34",NA,63,65,67,71,68,65,63,65,58,62,69,69,62,61,58,66,70,68,73,59
"35",NA,61,68,71,72,72,68,69,72,63,62,68,72,64,72,72,64,69,76,65,82
"36",NA,68,72,77,78,79,76,79,74,70,71,69,67,79,76,72,68,77,75,70,76
"37",NA,76,80,88,87,76,67,77,82,81,71,78,75,83,71,82,72,77,84,72,77
"38",NA,87,78,85,82,82,73,82,81,80,72,75,82,81,73,80,74,85,87,86,90
"39",NA,83,85,85,84,78,80,85,87,85,83,77,89,85,84,80,78,84,86,83,93
"40",NA,83,88,91,88,90,85,87,85,93,90,84,86,83,88,88,84,90,91,88,82
"41",NA,91,94,92,90,91,92,89,85,92,90,92,86,86,91,87,88,88,94,84,91
"42",NA,89,82,94,93,90,88,90,93,89,89,88,94,84,94,90,85,95,91,91,88
"43",NA,95,92,95,91,92,89,96,93,87,89,90,95,94,93,96,88,91,95,92,95
