"","x"
"1",6184
"2",6207
"3",6260
"4",6163
"5",6186
"6",6515
"7",6202
"8",6157
"9",6116
"10",6122
"11",6281
"12",6524
"13",6527
"14",6509
"15",6204
"16",6059
"17",6158
"18",6457
"19",6141
"20",6182
"21",6154
"22",6569
"23",6298
"24",6149
"25",6188
"26",6264
"27",6208
"28",6300
"29",6116
"30",6304
"31",6102
"32",6406
"33",6831
"34",6228
"35",6208
"36",6156
"37",6161
"38",6220
"39",6276
"40",6182
"41",6506
"42",6210
"43",6558
"44",6397
"45",6631
"46",6181
"47",6224
"48",6250
"49",6145
"50",6156
"51",6126
"52",6195
"53",6311
"54",6657
"55",6660
"56",6263
"57",6214
"58",6538
"59",6586
"60",6184
"61",6114
"62",6530
"63",6599
"64",6245
"65",6228
"66",6093
"67",6589
"68",6096
"69",6155
"70",6028
"71",6138
"72",6125
"73",6595
"74",6189
"75",6609
"76",6243
"77",6150
"78",6011
"79",6477
"80",6265
"81",6174
"82",6436
"83",6183
"84",6157
"85",6563
"86",6254
"87",6743
"88",6072
"89",6138
"90",6209
"91",6187
"92",6202
"93",6134
"94",6075
"95",6285
"96",6148
"97",6118
"98",6510
"99",6165
"100",6215
