"","x"
"1",3613
"2",3445
"3",3771
"4",3597
"5",3458
"6",3606
"7",3240
"8",3231
"9",3315
"10",3559
"11",3333
"12",3143
"13",3570
"14",3476
"15",3134
"16",2953
"17",2234
"18",3501
"19",3462
"20",1800
"21",2836
"22",3156
"23",3443
"24",3494
"25",3619
"26",3755
"27",3148
"28",3624
"29",3376
"30",3472
"31",2999
"32",3106
"33",3578
"34",3035
"35",3771
"36",3603
"37",3612
"38",3319
"39",3329
"40",3207
"41",3348
"42",1731
"43",3263
"44",3604
"45",3506
"46",2604
"47",3088
"48",3317
"49",3648
"50",3507
"51",3550
"52",3468
"53",2856
"54",3573
"55",3469
"56",3144
"57",2777
"58",2173
"59",3504
"60",3719
"61",2992
"62",3444
"63",3126
"64",3192
"65",2973
"66",3465
"67",3434
"68",3450
"69",3432
"70",3445
"71",2864
"72",3416
"73",3355
"74",3649
"75",3573
"76",3547
"77",3523
"78",3329
"79",2955
"80",3015
"81",3073
"82",3404
"83",3099
"84",3650
"85",2825
"86",3031
"87",2681
"88",3520
"89",2128
"90",1890
"91",2707
"92",2211
"93",3609
"94",2233
"95",3224
"96",2892
"97",3511
"98",2935
"99",3161
"100",3439
