"","x"
"1",6259
"2",6426
"3",6099
"4",6271
"5",6413
"6",6259
"7",6633
"8",6637
"9",6555
"10",6313
"11",6537
"12",6720
"13",6300
"14",6397
"15",6737
"16",6911
"17",7636
"18",6369
"19",6410
"20",8075
"21",7031
"22",6713
"23",6423
"24",6376
"25",6250
"26",6115
"27",6722
"28",6247
"29",6494
"30",6401
"31",6875
"32",6765
"33",6294
"34",6833
"35",6107
"36",6266
"37",6262
"38",6547
"39",6540
"40",6663
"41",6522
"42",8151
"43",6607
"44",6266
"45",6364
"46",7271
"47",6783
"48",6550
"49",6218
"50",6367
"51",6319
"52",6403
"53",7012
"54",6304
"55",6403
"56",6727
"57",7095
"58",7701
"59",6369
"60",6151
"61",6880
"62",6429
"63",6745
"64",6681
"65",6898
"66",6401
"67",6427
"68",6422
"69",6440
"70",6432
"71",7008
"72",6457
"73",6518
"74",6219
"75",6299
"76",6319
"77",6347
"78",6540
"79",6913
"80",6859
"81",6794
"82",6468
"83",6766
"84",6216
"85",7051
"86",6841
"87",7195
"88",6349
"89",7752
"90",7980
"91",7169
"92",7657
"93",6265
"94",7632
"95",6639
"96",6983
"97",6363
"98",6935
"99",6710
"100",6426
